날짜,종가,등락률
2021.05.14,"10,212.00",-0.40%
2021.05.13,"10,253.50",-2.69%
2021.05.12,"10,537.00",0.09%
2021.05.11,"10,528.00",-1.83%
2021.05.10,"10,724.50",3.51%
2021.05.07,"10,361.00",3.35%
2021.05.06,"10,025.50",0.34%
2021.05.05,"9,991.50",0.31%
2021.05.04,"9,961.00",0.12%
2021.04.30,"9,949.00",-0.41%
2021.04.29,"9,990.00",1.60%
2021.04.28,"9,832.50",-0.67%
2021.04.27,"9,898.50",1.44%
2021.04.26,"9,758.00",2.23%
2021.04.23,"9,545.50",0.74%
2021.04.22,"9,475.50",0.99%
2021.04.21,"9,382.50",-0.15%
2021.04.20,"9,396.50",-0.20%
2021.04.19,"9,415.00",0.85%
2021.04.16,"9,336.00",1.62%
2021.04.15,"9,187.50",1.96%
2021.04.14,"9,011.00",1.20%
2021.04.13,"8,904.00",0.03%
2021.04.12,"8,901.00",-1.02%
2021.04.09,"8,993.00",-0.09%
2021.04.08,"9,001.50",0.22%
2021.04.07,"8,981.50",-0.03%
2021.04.06,"8,984.50",2.47%
2021.04.01,"8,768.00",-0.93%
2021.03.31,"8,850.50",0.71%
2021.03.30,"8,788.50",-1.72%
2021.03.29,"8,942.50",0.15%
2021.03.26,"8,929.00",1.69%
2021.03.25,"8,781.00",-2.61%
2021.03.24,"9,016.00",-0.01%
2021.03.23,"9,016.50",-0.89%
2021.03.22,"9,097.50",0.68%
2021.03.19,"9,036.00",-0.59%
2021.03.18,"9,090.00",0.70%
2021.03.17,"9,027.00",0.69%
2021.03.16,"8,965.50",-1.99%
2021.03.15,"9,147.50",1.05%
2021.03.12,"9,052.50",-0.11%
2021.03.11,"9,062.50",1.38%
2021.03.10,"8,939.00",0.49%
2021.03.09,"8,895.00",-1.08%
2021.03.08,"8,992.50",-0.32%
2021.03.05,"9,021.50",2.67%
2021.03.04,"8,786.50",-5.17%
2021.03.03,"9,266.00",0.57%
2021.03.02,"9,213.50",0.17%
2021.03.01,"9,198.00",0.28%
2021.02.26,"9,172.50",-4.60%
2021.02.25,"9,614.50",3.54%
2021.02.24,"9,286.00",1.40%
2021.02.23,"9,158.00",1.00%
2021.02.22,"9,067.50",2.96%
2021.02.19,"8,806.50",1.81%
2021.02.18,"8,650.00",2.81%
2021.02.17,"8,413.50",-0.31%
2021.02.16,"8,439.50",0.27%
2021.02.15,"8,416.50",1.77%
2021.02.12,"8,270.50",-0.26%
2021.02.11,"8,292.00",0.15%
2021.02.10,"8,279.50",1.63%
2021.02.09,"8,146.50",1.74%
2021.02.08,"8,007.00",0.89%
2021.02.05,"7,936.50",1.31%
2021.02.04,"7,833.50",0.01%
2021.02.03,"7,832.50",0.99%
2021.02.02,"7,755.50",-0.91%
2021.02.01,"7,827.00",-0.63%
2021.01.29,"7,877.00",1.27%
2021.01.28,"7,778.50",-1.48%
2021.01.27,"7,895.00",-0.78%
2021.01.26,"7,957.00",-0.34%
2021.01.25,"7,984.50",1.43%
2021.01.22,"7,872.00",-2.22%
2021.01.21,"8,051.00",0.46%
2021.01.20,"8,014.50",0.35%
2021.01.19,"7,986.50",0.18%
2021.01.18,"7,972.50",-0.09%
2021.01.15,"7,979.50",-0.29%
2021.01.14,"8,002.50",0.53%
2021.01.13,"7,960.50",-0.28%
2021.01.12,"7,983.00",0.40%
2021.01.11,"7,951.50",-2.39%
2021.01.08,"8,146.00",1.36%
2021.01.07,"8,036.50",-1.14%
2021.01.06,"8,129.50",2.72%
2021.01.05,"7,914.00",-0.06%
2021.01.04,"7,918.50",2.29%
2020.12.31,"7,741.50",-0.79%
2020.12.30,"7,803.50",-0.47%
2020.12.29,"7,840.00",0.60%
2020.12.24,"7,793.00",0.37%
2020.12.23,"7,764.50",0.15%
2020.12.22,"7,753.00",-1.09%
2020.12.21,"7,838.50",-1.58%
2020.12.18,"7,964.00",0.90%
2020.12.17,"7,893.00",0.89%
2020.12.16,"7,823.00",0.90%
2020.12.15,"7,753.00",-0.13%
2020.12.14,"7,763.00",0.28%
2020.12.11,"7,741.00",0.38%
2020.12.10,"7,712.00",0.10%
2020.12.09,"7,704.50",0.91%
2020.12.08,"7,635.00",-0.28%
2020.12.07,"7,656.50",-1.10%
2020.12.04,"7,741.50",0.81%
2020.12.03,"7,679.00",0.82%
2020.12.02,"7,616.50",-0.36%
2020.12.01,"7,644.00",-0.40%
2020.11.30,"7,674.50",2.85%
2020.11.27,"7,462.00",1.43%
2020.11.25,"7,238.50",-0.87%
2020.11.24,"7,302.00",1.20%
2020.11.23,"7,215.50",0.52%
2020.11.20,"7,178.50",2.14%
2020.11.19,"7,028.00",-0.78%
2020.11.18,"7,083.00",0.47%
2020.11.17,"7,050.00",-0.89%
2020.11.16,"7,113.00",2.70%
2020.11.13,"6,926.00",0.32%
2020.11.12,"6,904.00",-0.12%
2020.11.11,"6,912.50",0.68%
2020.11.10,"6,865.50",-2.40%
2020.11.09,"7,034.00",1.38%
2020.11.06,"6,938.50",2.07%
2020.11.05,"6,798.00",0.74%
2020.11.04,"6,748.00",-0.64%
2020.11.03,"6,791.50",1.18%
2020.11.02,"6,712.50",0.27%
2020.10.30,"6,694.50",0.04%
2020.10.29,"6,692.00",-0.04%
2020.10.28,"6,694.50",-1.37%
2020.10.27,"6,787.50",-0.27%
2020.10.26,"6,806.00",-1.07%
2020.10.23,"6,879.50",-0.09%
2020.10.22,"6,886.00",-0.96%
2020.10.21,"6,953.00",2.04%
2020.10.20,"6,814.00",0.87%
2020.10.19,"6,755.00",0.40%
2020.10.16,"6,728.00",0.67%
2020.10.15,"6,683.50",-0.28%
2020.10.14,"6,702.00",0.04%
2020.10.13,"6,699.50",-1.03%
2020.10.12,"6,769.00",0.42%
2020.10.09,"6,740.50",1.95%
2020.10.08,"6,611.50",1.33%
2020.10.07,"6,525.00",0.25%
2020.10.06,"6,509.00",0.02%
2020.10.05,"6,507.50",1.53%
2020.10.02,"6,409.50",-3.09%
2020.10.01,"6,614.00",0.06%
2020.09.30,"6,610.00",0.98%
2020.09.29,"6,546.00",-0.39%
2020.09.28,"6,571.50",0.65%
2020.09.25,"6,529.00",-0.15%
2020.09.24,"6,538.50",-2.78%
2020.09.23,"6,725.50",-1.24%
2020.09.22,"6,810.00",-0.39%
2020.09.21,"6,837.00",0.05%
2020.09.18,"6,833.50",1.07%
2020.09.17,"6,761.00",-0.22%
2020.09.16,"6,776.00",-0.55%
2020.09.15,"6,813.50",0.38%
2020.09.14,"6,788.00",0.45%
2020.09.11,"6,757.50",0.70%
2020.09.10,"6,710.50",0.02%
2020.09.09,"6,709.00",-0.86%
2020.09.08,"6,767.50",-0.34%
2020.09.07,"6,790.50",1.68%
2020.09.04,"6,678.00",0.98%
2020.09.03,"6,613.00",-1.58%
2020.09.02,"6,719.00",-1.02%
2020.09.01,"6,788.50",0.90%
2020.08.28,"6,728.00",1.90%
2020.08.27,"6,602.50",-0.02%
2020.08.26,"6,603.50",0.90%
2020.08.25,"6,544.50",-0.53%
2020.08.24,"6,579.50",0.23%
2020.08.21,"6,564.50",-0.45%
2020.08.20,"6,594.50",-1.09%
2020.08.19,"6,667.00",2.69%
2020.08.18,"6,492.50",0.82%
2020.08.17,"6,439.50",1.53%
2020.08.14,"6,342.50",-0.59%
2020.08.13,"6,380.00",0.02%
2020.08.12,"6,379.00",0.35%
2020.08.11,"6,356.50",-0.10%
2020.08.10,"6,363.00",-1.15%
2020.08.07,"6,437.00",-0.26%
2020.08.06,"6,453.50",-1.10%
2020.08.05,"6,525.50",1.33%
2020.08.04,"6,440.00",-0.02%
2020.08.03,"6,441.00",-0.09%
2020.07.31,"6,446.50",0.20%
2020.07.30,"6,433.50",-0.64%
2020.07.29,"6,475.00",1.18%
2020.07.28,"6,399.50",-0.40%
2020.07.27,"6,425.50",0.20%
2020.07.24,"6,412.50",-1.85%
2020.07.23,"6,533.50",0.10%
2020.07.22,"6,527.00",0.21%
2020.07.21,"6,513.00",1.50%
2020.07.20,"6,416.50",-0.59%
2020.07.17,"6,454.50",1.09%
2020.07.16,"6,385.00",-1.87%
2020.07.15,"6,507.00",0.27%
2020.07.14,"6,489.50",-0.85%
2020.07.13,"6,545.00",3.52%
2020.07.10,"6,322.50",-0.27%
2020.07.09,"6,339.50",2.35%
2020.07.08,"6,194.00",1.77%
2020.07.07,"6,086.00",-0.43%
2020.07.06,"6,112.00",1.49%
2020.07.03,"6,022.50",-0.95%
2020.07.02,"6,080.00",1.06%
2020.07.01,"6,016.50",-0.36%
2020.06.30,"6,038.00",1.36%
2020.06.29,"5,957.00",-0.48%
2020.06.26,"5,985.50",1.79%
2020.06.25,"5,880.50",0.16%
2020.06.24,"5,871.00",-0.41%
2020.06.23,"5,895.00",1.20%
2020.06.22,"5,825.00",-0.18%
2020.06.19,"5,835.50",0.63%
2020.06.18,"5,799.00",1.13%
2020.06.17,"5,734.00",-0.44%
2020.06.16,"5,759.50",2.01%
2020.06.15,"5,646.00",-2.41%
2020.06.12,"5,785.50",-0.28%
2020.06.11,"5,801.50",0.01%
2020.06.10,"5,801.00",2.12%
2020.06.09,"5,680.50",0.38%
2020.06.08,"5,659.00",1.27%
2020.06.05,"5,588.00",2.49%
2020.06.04,"5,452.50",-0.85%
2020.06.03,"5,499.00",0.66%
2020.06.02,"5,463.00",1.61%
2020.06.01,"5,376.50",0.83%
2020.05.29,"5,332.50",1.02%
2020.05.28,"5,278.50",-0.57%
2020.05.27,"5,308.50",-0.62%
2020.05.26,"5,341.50",1.89%
2020.05.22,"5,242.50",-2.68%
2020.05.21,"5,387.00",1.01%
2020.05.20,"5,333.00",0.36%
2020.05.19,"5,314.00",1.23%
2020.05.18,"5,249.50",1.64%
2020.05.15,"5,165.00",0.18%
2020.05.14,"5,155.50",-1.09%
2020.05.13,"5,212.50",-0.41%
2020.05.12,"5,234.00",0.06%
2020.05.11,"5,231.00",0.07%
2020.05.07,"5,227.50",0.54%
2020.05.06,"5,199.50",1.72%
2020.05.05,"5,111.50",1.06%
2020.05.04,"5,058.00",-0.06%
2020.05.01,"5,061.00",-3.25%
2020.04.30,"5,231.00",0.91%
2020.04.29,"5,184.00",0.28%
2020.04.28,"5,169.50",0.08%
2020.04.27,"5,165.50",0.93%
2020.04.24,"5,118.00",-0.05%
2020.04.23,"5,120.50",1.72%
2020.04.22,"5,034.00",0.79%
2020.04.21,"4,994.50",-3.39%
2020.04.20,"5,169.50",-0.12%
2020.04.17,"5,175.50",1.51%
2020.04.16,"5,098.50",0.87%
2020.04.15,"5,054.50",-1.26%
2020.04.14,"5,119.00",3.13%
2020.04.09,"4,963.50",-0.25%
2020.04.08,"4,976.00",-1.81%
2020.04.07,"5,067.50",4.12%
2020.04.06,"4,867.00",0.07%
2020.04.03,"4,863.50",0.87%
2020.04.02,"4,821.50",1.04%
2020.04.01,"4,772.00",-0.52%
2020.03.31,"4,797.00",0.71%
2020.03.30,"4,763.00",-0.23%
2020.03.27,"4,774.00",-0.03%
2020.03.26,"4,775.50",0.45%
2020.03.25,"4,754.00",-0.74%
2020.03.24,"4,789.50",3.72%
2020.03.23,"4,617.50",-4.89%
2020.03.20,"4,855.00",3.63%
2020.03.19,"4,685.00",-3.61%
2020.03.18,"4,860.50",-6.62%
2020.03.17,"5,205.00",-0.12%
2020.03.16,"5,211.00",-5.78%
2020.03.13,"5,530.50",2.67%
2020.03.12,"5,386.50",-2.98%
2020.03.11,"5,552.00",-0.82%
2020.03.10,"5,598.00",2.10%
2020.03.09,"5,483.00",-2.51%
2020.03.06,"5,624.00",-0.77%
2020.03.05,"5,667.50",-0.47%
2020.03.04,"5,694.50",0.47%
2020.03.03,"5,668.00",0.50%
2020.03.02,"5,640.00",1.20%
2020.02.28,"5,573.00",-0.80%
2020.02.27,"5,618.00",0.07%
2020.02.26,"5,614.00",-0.87%
2020.02.25,"5,663.50",0.11%
2020.02.24,"5,657.50",-0.78%
2020.02.21,"5,702.00",-0.49%
2020.02.20,"5,730.00",-0.27%
2020.02.19,"5,745.50",0.31%
2020.02.18,"5,728.00",-1.28%
2020.02.14,"5,737.00",0.37%
2020.02.13,"5,716.00",-0.54%
2020.02.12,"5,747.00",0.90%
2020.02.11,"5,696.00",0.64%
2020.02.10,"5,659.50",0.11%
2020.02.07,"5,653.00",-1.27%
2020.02.06,"5,726.00",0.21%
2020.02.05,"5,714.00",1.10%
2020.02.04,"5,652.00",1.02%
2020.02.03,"5,595.00",0.45%
2020.01.31,"5,570.00",-0.91%
2020.01.30,"5,621.00",-1.35%
2020.01.29,"5,698.00",-0.30%
2020.01.28,"5,715.00",-1.11%
2020.01.27,"5,779.00",-3.17%
2020.01.24,"5,968.00",-1.36%
2020.01.23,"6,050.00",-0.88%
2020.01.22,"6,103.50",-0.89%
2020.01.21,"6,158.50",-1.39%
2020.01.20,"6,245.00",-0.50%
2020.01.17,"6,276.50",-0.38%
2020.01.16,"6,300.50",1.10%
2020.01.15,"6,232.00",-0.24%
2020.01.14,"6,247.00",1.13%
2020.01.13,"6,177.00",0.32%
2020.01.10,"6,157.00",0.02%
2020.01.09,"6,156.00",0.03%
2020.01.08,"6,154.00",0.32%
2020.01.07,"6,134.50",0.61%
2020.01.06,"6,097.50",0.34%
2020.01.03,"6,077.00",-1.44%
2020.01.02,"6,165.50",0.15%
2019.12.31,"6,156.00",-0.44%
2019.12.30,"6,183.50",-0.44%
2019.12.27,"6,211.00",0.43%
2019.12.26,"6,184.50",0.00%
2019.12.24,"6,184.50",0.51%
2019.12.23,"6,153.00",-0.04%
2019.12.20,"6,155.50",-0.09%
2019.12.19,"6,161.00",0.56%
2019.12.18,"6,126.50",-0.79%
2019.12.17,"6,175.00",0.32%
2019.12.16,"6,155.50",0.02%
2019.12.13,"6,154.00",0.93%
2019.12.12,"6,097.00",0.23%
2019.12.11,"6,083.00",0.46%
2019.12.10,"6,055.00",1.17%
2019.12.09,"5,985.00",2.00%
2019.12.06,"5,867.50",0.21%
2019.12.05,"5,855.00",0.55%
2019.12.04,"5,823.00",0.19%
2019.12.03,"5,812.00",-0.74%
2019.12.02,"5,855.50",0.03%
2019.11.29,"5,854.00",-0.47%
2019.11.28,"5,881.50",-0.74%
2019.11.27,"5,925.50",1.19%
2019.11.26,"5,856.00",-0.28%
2019.11.25,"5,872.50",0.66%
2019.11.22,"5,834.00",0.36%
2019.11.21,"5,813.00",-1.02%
2019.11.20,"5,873.00",0.88%
2019.11.19,"5,821.50",-0.11%
2019.11.18,"5,828.00",0.28%
2019.11.15,"5,812.00",-0.39%
2019.11.14,"5,835.00",0.21%
2019.11.13,"5,823.00",-0.26%
2019.11.12,"5,838.00",-0.32%
2019.11.11,"5,857.00",-1.59%
2019.11.08,"5,951.50",0.18%
2019.11.07,"5,941.00",0.47%
2019.11.06,"5,913.50",0.57%
2019.11.05,"5,880.00",0.57%
2019.11.04,"5,846.50",0.85%
2019.11.01,"5,797.00",-0.48%
2019.10.31,"5,825.00",-0.99%
2019.10.30,"5,883.00",0.06%
2019.10.29,"5,879.50",-0.15%
2019.10.28,"5,888.50",0.36%
2019.10.25,"5,867.50",-0.03%
2019.10.24,"5,869.00",1.66%
2019.10.23,"5,773.00",-0.36%
2019.10.22,"5,794.00",-0.45%
2019.10.21,"5,820.00",1.20%
2019.10.18,"5,751.00",0.43%
2019.10.17,"5,726.50",0.75%
2019.10.16,"5,684.00",-1.06%
2019.10.15,"5,745.00",0.46%
2019.10.14,"5,718.50",-0.77%
2019.10.11,"5,763.00",1.13%
2019.10.10,"5,698.50",0.68%
2019.10.09,"5,660.00",0.17%
2019.10.08,"5,650.50",0.44%
2019.10.07,"5,626.00",0.48%
2019.10.04,"5,599.00",-0.48%
2019.10.03,"5,626.00",-0.05%
2019.10.02,"5,629.00",0.34%
2019.10.01,"5,610.00",-2.06%
2019.09.30,"5,728.00",0.25%
2019.09.27,"5,714.00",-0.75%
2019.09.26,"5,757.00",0.67%
2019.09.25,"5,718.50",-0.74%
2019.09.24,"5,761.00",1.16%
2019.09.23,"5,695.00",-1.43%
2019.09.20,"5,777.50",0.33%
2019.09.19,"5,758.50",0.23%
2019.09.18,"5,745.00",-0.30%
