날짜,종가,등락률,거래량
2021-04-30,355800,1.66,50000
2021-04-29,350000,2.25,41263
2021-04-28,342300,-2.48,60302
2021-04-27,351000,-1.6,42032
2021-04-26,356700,5.97,91686
2021-04-23,336600,0.15,77018
2021-04-22,336100,4.87,105121
2021-04-21,320500,-1.29,44646
2021-04-20,324700,-1.4,40145
2021-04-19,329300,4.27,96696
2021-04-16,315800,1.97,40948
2021-04-15,309700,0.58,31376
2021-04-14,307900,-0.42,31512
2021-04-13,309200,2.28,45214
2021-04-12,302300,-1.14,37838
2021-04-09,305800,1.66,44688
2021-04-08,300800,-0.79,23752
2021-04-07,303200,-0.85,20997
2021-04-06,305800,-1.58,29874
2021-04-05,310700,0.62,32951
2021-04-02,308800,5.21,90464
2021-04-01,293500,1.31,37698
2021-03-31,289700,-0.34,22799
2021-03-30,290700,-0.03,21692
2021-03-29,290800,-1.12,32452
2021-03-26,294100,-1.47,26842
2021-03-25,298500,-1.19,23191
2021-03-24,302100,1.99,29178
2021-03-23,296200,-1.23,20584
2021-03-22,299900,0.07,20372
2021-03-19,299700,-0.1,28981
2021-03-18,300000,-1.15,30506
2021-03-17,303500,-1.75,30037
2021-03-16,308900,1.95,23580
2021-03-15,303000,-1.4,20235
2021-03-12,307300,1.65,31285
2021-03-11,302300,3.95,48998
2021-03-10,290800,1.79,31891
2021-03-09,285700,-2.76,51678
2021-03-08,293800,-0.78,22543
2021-03-05,296100,-1.5,36831
2021-03-04,300600,-2.12,55400
2021-03-03,307100,-0.94,37783
2021-03-02,310000,0.06,43788
2021-02-26,309800,-4.03,85599
2021-02-25,322800,4.7,129679
2021-02-24,308300,0.42,123621
2021-02-23,307000,-5.13,106520
2021-02-22,323600,0.53,85956
2021-02-19,321900,6.24,148307
2021-02-18,303000,-3.38,90823
2021-02-17,313600,0.35,67670
2021-02-16,312500,4.17,157244
2021-02-15,300000,1.73,78569
2021-02-10,294900,1.06,61722
2021-02-09,291800,0.14,71336
2021-02-08,291400,5.2,155537
2021-02-05,277000,2.97,79738
2021-02-04,269000,-1.1,41559
2021-02-03,272000,0,37834
2021-02-02,272000,-0.51,49945
2021-02-01,273400,1.75,41390
2021-01-29,268700,-4.07,86627
2021-01-28,280100,-2.1,67430
2021-01-27,286100,-4.63,134215
2021-01-26,300000,6.38,262998
2021-01-25,282000,2.43,77263
2021-01-22,275300,-1.18,49525
2021-01-21,278600,0,46429
2021-01-20,278600,1.83,58773
2021-01-19,273600,0.04,54392
2021-01-18,273500,-2.98,69750
2021-01-15,281900,-2.36,63001
2021-01-14,288700,2.96,45876
2021-01-13,280400,0.25,44659
2021-01-12,279700,-1.1,56760
2021-01-11,282800,-2.01,111476
2021-01-08,288600,-0.69,102309
2021-01-07,290600,0.21,76106
2021-01-06,290000,-1.69,111422
2021-01-05,295000,1.24,144406
2021-01-04,291400,7.01,155472
2020-12-30,272300,0.41,73978
2020-12-29,271200,-0.07,52994
2020-12-28,271400,1.42,75119
2020-12-24,267600,0.79,41428
2020-12-23,265500,2.12,65917
2020-12-22,260000,-5.01,119975
2020-12-21,273700,-1.05,71913
2020-12-18,276600,1.02,127091
2020-12-17,273800,7.33,227475
2020-12-16,255100,0.04,64797
2020-12-15,255000,1.72,68540
2020-12-14,250700,1.21,43048
2020-12-11,247700,0.08,71133
2020-12-10,247500,-1.08,176857
2020-12-09,250200,-0.52,53926
2020-12-08,251500,-0.44,48935
2020-12-07,252600,-0.75,54622
2020-12-04,254500,0.16,69965
2020-12-03,254100,-0.51,66514
2020-12-02,255400,0.2,58798
2020-12-01,254900,0.24,47230
2020-11-30,254300,-0.2,61520
2020-11-27,254800,0.83,50311
2020-11-26,252700,1.9,78606
2020-11-25,248000,-3.46,156077
2020-11-24,256900,0.39,115110
2020-11-23,255900,3.86,124084
2020-11-20,246400,2.67,92778
2020-11-19,240000,-0.7,49561
2020-11-18,241700,-0.04,61608
2020-11-17,241800,0.33,67004
2020-11-16,241000,3.88,107721
2020-11-13,232000,1.75,39262
2020-11-12,228000,0.4,40629
2020-11-11,227100,-1.82,74348
2020-11-10,231300,-1.78,57656
2020-11-09,235500,0.81,39641
2020-11-06,233600,0,36445
2020-11-05,233600,0.26,49124
2020-11-04,233000,4.91,63872
2020-11-03,222100,1.79,37879
2020-11-02,218200,0.37,22596
2020-10-30,217400,-1.32,35706
2020-10-29,220300,0.23,30453
2020-10-28,219800,0.96,57530
2020-10-27,217700,0.79,54300
2020-10-26,216000,-5.55,80915
2020-10-23,228700,-0.22,43675
2020-10-22,229200,-3.74,54199
2020-10-21,238100,0.98,36935
2020-10-20,235800,4.29,74845
2020-10-19,226100,-2.21,57056
2020-10-16,231200,-4.19,66267
2020-10-15,241300,-0.08,83889
2020-10-14,241500,-3.28,126942
2020-10-13,249700,3.27,229897
2020-10-12,241800,0.88,77634
2020-10-08,239700,-0.13,143959
2020-10-07,240000,7.14,231916
2020-10-06,224000,4.09,70873
2020-10-05,215200,-0.69,26040
2020-09-29,216700,0.37,37620
2020-09-28,215900,1.36,31593
2020-09-25,213000,1.77,31670
2020-09-24,209300,-3.55,50755
2020-09-23,217000,0.74,65531
2020-09-22,215400,-4.39,77506
2020-09-21,225300,-3.35,65042
2020-09-18,233100,3.6,83226
2020-09-17,225000,-2.09,75510
