날짜,종가,등락률,거래량
2021-04-30,18500,-1.07,204320
2021-04-29,18700,0,158658
2021-04-28,18700,-3.61,302220
2021-04-27,19400,-1.27,147919
2021-04-26,19650,-0.25,107520
2021-04-23,19700,1.55,198200
2021-04-22,19400,-1.52,176294
2021-04-21,19700,1.03,222810
2021-04-20,19500,0.26,255256
2021-04-19,19450,6.28,795381
2021-04-16,18300,5.48,474521
2021-04-15,17350,-1.7,187134
2021-04-14,17650,2.02,204554
2021-04-13,17300,1.17,154707
2021-04-12,17100,0,109806
2021-04-09,17100,-0.58,63541
2021-04-08,17200,-0.58,68209
2021-04-07,17300,1.17,109498
2021-04-06,17100,-1.44,89065
2021-04-05,17350,0.87,81797
2021-04-02,17200,1.78,96781
2021-04-01,16900,1.81,47523
2021-03-31,16600,-0.6,62371
2021-03-30,16700,0,69009
2021-03-29,16700,-1.18,69905
2021-03-26,16900,-0.59,63696
2021-03-25,17000,-0.58,63630
2021-03-24,17100,0.29,51039
2021-03-23,17050,-1.16,91659
2021-03-22,17250,0.58,65456
2021-03-19,17150,-1.15,63706
2021-03-18,17350,1.76,80508
2021-03-17,17050,-1.45,60994
2021-03-16,17300,0.58,45588
2021-03-15,17200,-1.15,73763
2021-03-12,17400,0,82088
2021-03-11,17400,2.65,98935
2021-03-10,16950,-4.51,217701
2021-03-09,17750,-1.11,237791
2021-03-08,17950,-4.77,305199
2021-03-05,18850,5.6,428658
2021-03-04,17850,-1.38,137170
2021-03-03,18100,5.23,416691
2021-03-02,17200,2.38,178506
2021-02-26,16800,-4.55,182511
2021-02-25,17600,5.39,238067
2021-02-24,16700,-4.57,205301
2021-02-23,17500,-0.28,199150
2021-02-22,17550,1.45,496010
2021-02-19,17300,2.98,193740
2021-02-18,16800,-2.04,71088
2021-02-17,17150,0.29,102198
2021-02-16,17100,1.79,114537
2021-02-15,16800,0.6,130648
2021-02-10,16700,0.91,214628
2021-02-09,16550,0.91,1039419
2021-02-08,16400,-0.3,56104
2021-02-05,16450,1.86,73055
2021-02-04,16150,-0.92,139751
2021-02-03,16300,-2.1,100577
2021-02-02,16650,0,65119
