날짜,뉴스_변동성_크기,뉴스_변동성_방향
2021.04.30.,1.64247311827957,2.5652173913043477
2021.04.29.,1.8635235732009925,14.307692307692308
2021.04.28.,1.8057210965435042,17.266666666666666
2021.04.27.,2.5045592705167175,-69.05882352941177
2021.04.26.,1.931937172774869,4.126436781609195
2021.04.25.,1.4842931937172774,9.473684210526315
2021.04.24.,1.8917910447761195,7.636363636363637
2021.04.23.,1.512924071082391,3.7008797653958942
2021.04.22.,1.4258555133079849,-26.5
2021.04.21.,1.796641791044776,5.35
2021.04.20.,1.5901386748844375,4.496815286624204
2021.04.19.,1.410621761658031,-8.08974358974359
2021.04.18.,1.5680473372781065,-2.911111111111111
2021.04.17.,1.193103448275862,9.238095238095237
2021.04.16.,1.6790123456790123,5.107142857142857
2021.04.15.,1.7336769759450172,12.104477611940299
2021.04.14.,1.5896414342629481,-74.875
2021.04.13.,1.3294392523364487,1.9356223175965666
2021.04.12.,3.1596638655462184,8.431818181818182
2021.04.11.,1.7088607594936709,1.7536231884057971
2021.04.10.,1.355263157894737,1.5692307692307692
2021.04.09.,3.6808510638297873,2.17816091954023
2021.04.08.,1.90625,1.9583333333333333
2021.04.07.,1.5436893203883495,11.81081081081081
2021.04.06.,1.5966666666666667,1.935323383084577
2021.04.05.,1.88135593220339,1.4464944649446494
2021.04.04.,1.59375,2.210526315789474
2021.04.03.,1.1925465838509317,3.4166666666666665
2021.04.02.,1.3682926829268294,1.736842105263158
2021.04.01.,1.3623445825932505,1.8333333333333333
2021.03.31.,1.5705882352941176,1.5169491525423728
2021.03.30.,2.3945578231292517,1.434920634920635
2021.03.29.,10.941176470588236,2.1578947368421053
2021.03.28.,1.9411764705882353,1.8
2021.03.27.,2.4761904761904763,1.4186046511627908
2021.03.26.,1.6388888888888888,1.8992248062015504
2021.03.25.,1.5753424657534247,2.0232558139534884
2021.03.24.,1.575,3.625
2021.03.23.,1.8267148014440433,3.0064935064935066
2021.03.22.,1.5772727272727274,16.466666666666665
2021.03.21.,5.5,2.638888888888889
2021.03.20.,2.2162162162162162,3.3636363636363638
2021.03.19.,6.1875,1.908496732026144
2021.03.18.,1.8238341968911918,2.282608695652174
2021.03.17.,1.3695652173913044,3.8703703703703702
2021.03.16.,1.4423076923076923,2.2824858757062145
2021.03.15.,1.5719063545150502,2.1538461538461537
2021.03.14.,1.2691029900332227,1.4205128205128206
2021.03.13.,1.1643835616438356,1.5034013605442176
2021.03.12.,1.462686567164179,1.6158536585365855
2021.03.11.,1.4311926605504588,1.696629213483146
2021.03.10.,1.462962962962963,2.2467532467532467
2021.03.09.,1.540084388185654,2.242857142857143
2021.03.08.,1.3514150943396226,2.1797752808988764
2021.03.07.,1.2340425531914894,2.375
2021.03.06.,1.8181818181818181,2.2941176470588234
2021.03.05.,2.6493506493506493,1.624113475177305
2021.03.04.,1.4068965517241379,2.6507936507936507
