날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 28일,90.995,90.877,91.11,90.877,-,0.17%
2021년 04월 27일,90.843,90.863,91.05,90.787,-,0.04%
2021년 04월 26일,90.805,90.865,90.965,90.657,-,-0.04%
2021년 04월 23일,90.839,91.285,91.285,90.78,19.43K,-0.53%
2021년 04월 22일,91.321,91.085,91.415,90.97,21.69K,0.21%
2021년 04월 21일,91.129,91.21,91.425,91.065,21.10K,-0.11%
2021년 04월 20일,91.227,91.04,91.27,90.84,25.95K,0.19%
2021년 04월 19일,91.05,91.575,91.75,91.025,32.38K,-0.54%
2021년 04월 16일,91.544,91.65,91.81,91.47,18.84K,-0.08%
2021년 04월 15일,91.618,91.63,91.745,91.495,20.61K,-0.06%
2021년 04월 14일,91.674,91.805,91.815,91.565,14.65K,-0.19%
2021년 04월 13일,91.844,92.095,92.365,91.785,28.95K,-0.33%
2021년 04월 12일,92.144,92.2,92.335,92.005,25.92K,-0.02%
2021년 04월 09일,92.16,92.075,92.43,92.035,19.96K,0.10%
2021년 04월 08일,92.069,92.445,92.505,92.01,19.04K,-0.44%
2021년 04월 07일,92.472,92.3,92.515,92.155,18.61K,0.13%
2021년 04월 06일,92.348,92.58,92.8,92.285,20.49K,-0.27%
2021년 04월 05일,92.595,93.01,93.13,92.56,27.78K,-0.49%
2021년 04월 02일,93.051,92.91,93.125,92.84,5.78K,0.11%
2021년 04월 01일,92.947,93.23,93.365,92.89,22.12K,-0.31%
2021년 03월 31일,93.236,93.275,93.47,93.005,20.93K,-0.09%
2021년 03월 30일,93.321,92.925,93.38,92.89,17.12K,0.39%
2021년 03월 29일,92.956,92.73,92.98,92.72,19.82K,0.20%
2021년 03월 26일,92.775,92.85,92.895,92.65,18.99K,-0.05%
2021년 03월 25일,92.826,92.595,92.94,92.52,27.58K,0.32%
2021년 03월 24일,92.53,92.43,92.63,92.35,19.00K,0.20%
2021년 03월 23일,92.347,91.81,92.4,91.77,27.71K,0.66%
2021년 03월 22일,91.741,92.105,92.175,91.695,28.15K,-0.20%
2021년 03월 19일,91.925,91.85,92.185,91.665,32.38K,0.06%
2021년 03월 18일,91.87,91.38,91.93,91.29,37.40K,0.48%
2021년 03월 17일,91.435,91.875,92.015,91.365,31.10K,-0.48%
2021년 03월 16일,91.88,91.82,92.045,91.67,24.24K,0.03%
2021년 03월 15일,91.852,91.64,91.855,91.64,1.54K,0.19%
2021년 03월 12일,91.678,91.43,91.97,91.405,8.35K,0.28%
2021년 03월 11일,91.418,91.855,91.895,91.37,40.32K,-0.45%
2021년 03월 10일,91.828,92.035,92.25,91.77,48.93K,-0.15%
2021년 03월 09일,91.964,92.445,92.53,91.92,41.05K,-0.40%
2021년 03월 08일,92.334,91.94,92.44,91.865,41.68K,0.37%
2021년 03월 05일,91.99,91.64,92.225,91.64,47.69K,0.38%
2021년 03월 04일,91.644,91.025,91.695,90.985,36.47K,0.77%
2021년 03월 03일,90.942,90.8,91.075,90.635,28.97K,0.17%
2021년 03월 02일,90.79,91.07,91.405,90.73,30.96K,-0.27%
2021년 03월 01일,91.036,90.9,91.15,90.685,36.78K,0.17%
2021년 02월 26일,90.882,90.335,90.98,90.135,49.29K,0.83%
2021년 02월 25일,90.135,90.075,90.295,89.675,44.24K,-0.04%
2021년 02월 24일,90.17,90.09,90.445,89.96,30.51K,0.00%
2021년 02월 23일,90.167,89.98,90.265,89.925,22.81K,0.19%
2021년 02월 22일,89.999,90.345,90.575,89.98,35.65K,-0.40%
2021년 02월 19일,90.363,90.54,90.66,90.165,27.10K,-0.26%
2021년 02월 18일,90.6,90.87,90.995,90.535,32.79K,-0.38%
2021년 02월 17일,90.949,90.705,91.05,90.61,33.42K,0.49%
2021년 02월 16일,90.503,90.31,90.63,90.095,30.62K,0.04%
2021년 02월 15일,90.47,90.42,90.46,90.25,13.83K,0.00%
2021년 02월 12일,90.47,90.41,90.735,90.355,22.47K,0.06%
2021년 02월 11일,90.413,90.45,90.48,90.25,18.99K,0.06%
2021년 02월 10일,90.363,90.455,90.515,90.235,24.63K,-0.07%
2021년 02월 09일,90.429,90.88,90.895,90.405,22.45K,-0.54%
2021년 02월 08일,90.919,91,91.225,90.88,29.23K,-0.12%
2021년 02월 05일,91.032,91.5,91.605,90.96,26.22K,-0.53%
2021년 02월 04일,91.52,91.11,91.585,91.085,19.39K,0.41%
2021년 02월 03일,91.148,91.035,91.305,90.98,21.00K,-0.04%
2021년 02월 02일,91.189,90.995,91.285,90.795,31.19K,0.24%
2021년 02월 01일,90.975,90.545,91.05,90.49,26.46K,0.45%
2021년 01월 29일,90.569,90.625,90.76,90.335,29.38K,0.16%
2021년 01월 28일,90.427,90.755,90.855,90.375,33.31K,-0.23%
2021년 01월 27일,90.64,90.165,90.88,90.13,47.30K,0.55%
2021년 01월 26일,90.148,90.385,90.595,90.09,26.46K,-0.25%
2021년 01월 25일,90.373,90.195,90.51,90.075,18.84K,0.18%
2021년 01월 22일,90.212,90.075,90.3,90.05,22.63K,0.09%
2021년 01월 21일,90.127,90.4,90.405,90.03,22.29K,-0.38%
2021년 01월 20일,90.469,90.388,90.69,90.248,-,-0.01%
2021년 01월 19일,90.476,90.7,90.745,90.38,29.11K,-0.31%
2021년 01월 18일,90.754,90.77,90.94,90.685,16.27K,0.00%
2021년 01월 15일,90.754,90.2,90.79,90.195,29.42K,0.60%
2021년 01월 14일,90.215,90.29,90.57,90.04,23.81K,-0.13%
2021년 01월 13일,90.334,89.98,90.435,89.89,26.61K,0.30%
2021년 01월 12일,90.064,90.485,90.6,89.995,23.64K,-0.42%
2021년 01월 11일,90.442,90.09,90.72,90.055,30.54K,0.42%
2021년 01월 08일,90.068,89.84,90.23,89.625,38.41K,0.31%
2021년 01월 07일,89.791,89.33,89.97,89.325,23.33K,0.32%
2021년 01월 06일,89.502,89.39,89.795,89.165,40.29K,0.10%
2021년 01월 05일,89.409,89.845,89.845,89.39,19.18K,-0.49%
2021년 01월 04일,89.845,89.87,89.925,89.39,28.26K,-0.05%
2020년 12월 31일,89.894,89.52,89.965,89.475,13.09K,0.27%
2020년 12월 30일,89.649,89.868,89.9,89.515,-,-0.30%
2020년 12월 29일,89.918,90.16,90.165,89.785,17.25K,-0.40%
2020년 12월 28일,90.275,90.26,90.32,89.895,18.46K,0.03%
2020년 12월 24일,90.25,90.185,90.31,90.075,10.83K,-0.10%
2020년 12월 23일,90.34,90.535,90.58,90.05,27.55K,-0.23%
2020년 12월 22일,90.546,90.1,90.62,89.95,21.87K,0.66%
2020년 12월 21일,89.949,90.045,90.95,89.925,39.25K,0.00%
2020년 12월 18일,89.953,89.8,90.055,89.755,17.93K,0.24%
2020년 12월 17일,89.741,90.165,90.18,89.64,29.48K,-0.68%
2020년 12월 16일,90.359,90.435,90.635,90.045,28.28K,-0.06%
2020년 12월 15일,90.409,90.595,90.78,90.345,22.41K,-0.35%
