날짜,종가,오픈,고가,저가,변동 %
2021년 04월 28일,"1,112.93","1,113.17","1,114.13","1,111.10",-0.02%
2021년 04월 27일,"1,113.15","1,110.13","1,113.96","1,108.45",0.28%
2021년 04월 26일,"1,110.08","1,115.85","1,116.55","1,109.32",-0.42%
2021년 04월 23일,"1,114.72","1,120.18","1,121.54","1,113.94",-0.36%
2021년 04월 22일,"1,118.79","1,116.70","1,121.69","1,114.13",0.22%
2021년 04월 21일,"1,116.35","1,117.45","1,121.61","1,114.78",-0.08%
2021년 04월 20일,"1,117.28","1,115.51","1,119.74","1,110.29",0.17%
2021년 04월 19일,"1,115.33","1,117.05","1,120.26","1,112.94",-0.10%
2021년 04월 16일,"1,116.50","1,116.85","1,121.57","1,113.06",-0.02%
2021년 04월 15일,"1,116.68","1,116.26","1,119.82","1,113.01",0.05%
2021년 04월 14일,"1,116.08","1,121.55","1,123.91","1,112.09",-0.47%
2021년 04월 13일,"1,121.37","1,125.23","1,128.42","1,120.38",-0.26%
2021년 04월 12일,"1,124.32","1,121.77","1,127.28","1,120.29",0.30%
2021년 04월 09일,"1,120.98","1,116.75","1,122.58","1,113.15",0.46%
2021년 04월 08일,"1,115.83","1,119.20","1,121.56","1,114.59",-0.29%
2021년 04월 07일,"1,119.03","1,119.29","1,120.36","1,114.67",-0.01%
2021년 04월 06일,"1,119.17","1,125.04","1,125.68","1,116.57",-0.45%
2021년 04월 05일,"1,124.18","1,129.69","1,130.03","1,122.45",-0.40%
2021년 04월 02일,"1,128.64","1,128.86","1,130.38","1,126.29",-0.01%
2021년 04월 01일,"1,128.72","1,127.96","1,133.82","1,125.31",0.14%
2021년 03월 31일,"1,127.17","1,133.54","1,134.68","1,125.32",-0.48%
2021년 03월 30일,"1,132.59","1,132.56","1,136.29","1,131.42",0.09%
2021년 03월 29일,"1,131.56","1,128.95","1,136.41","1,128.77",0.27%
2021년 03월 26일,"1,128.52","1,135.24","1,136.09","1,128.07",-0.58%
2021년 03월 25일,"1,135.12","1,135.40","1,138.02","1,131.93",0.02%
2021년 03월 24일,"1,134.90","1,133.40","1,135.96","1,130.24",0.18%
2021년 03월 23일,"1,132.90","1,126.49","1,134.48","1,125.02",0.61%
2021년 03월 22일,"1,126.00","1,129.47","1,134.01","1,125.61",-0.28%
2021년 03월 19일,"1,129.12","1,128.25","1,134.80","1,125.31",0.12%
2021년 03월 18일,"1,127.75","1,121.91","1,131.30","1,120.04",0.58%
2021년 03월 17일,"1,121.21","1,129.93","1,134.31","1,120.65",-0.69%
2021년 03월 16일,"1,129.00","1,132.85","1,135.91","1,128.14",-0.30%
2021년 03월 15일,"1,132.35","1,136.50","1,138.78","1,130.92",-0.37%
2021년 03월 12일,"1,136.50","1,130.85","1,139.35","1,127.27",0.54%
2021년 03월 11일,"1,130.35","1,136.91","1,140.99","1,128.90",-0.49%
2021년 03월 10일,"1,135.91","1,135.91","1,145.60","1,135.31",0.09%
2021년 03월 09일,"1,134.91","1,141.83","1,144.85","1,133.38",-0.52%
