"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 30일","3,147.86","3,176.43","3,179.43","3,143.38","1.36B","-0.83%"
"2021년 04월 29일","3,174.07","3,184.75","3,200.41","3,161.06","1.22B","-0.23%"
"2021년 04월 28일","3,181.47","3,217.21","3,219.69","3,176.55","1.41B","-1.06%"
"2021년 04월 27일","3,215.42","3,218.30","3,223.05","3,203.25","1.53B","-0.07%"
"2021년 04월 26일","3,217.53","3,191.34","3,217.53","3,191.34","1.30B","0.99%"
"2021년 04월 23일","3,186.10","3,173.47","3,188.70","3,146.54","2.25B","0.27%"
"2021년 04월 22일","3,177.52","3,174.52","3,196.97","3,174.52","1.75B","0.18%"
"2021년 04월 21일","3,171.66","3,214.24","3,214.24","3,165.49","1.77B","-1.52%"
"2021년 04월 20일","3,220.70","3,198.31","3,220.82","3,195.96","1.30B","0.68%"
"2021년 04월 19일","3,198.84","3,201.11","3,214.45","3,193.40","1.06B","0.01%"
"2021년 04월 16일","3,198.62","3,194.08","3,206.76","3,185.67","985.28M","0.13%"
"2021년 04월 15일","3,194.33","3,180.73","3,204.48","3,178.99","1.31B","0.38%"
"2021년 04월 14일","3,182.38","3,169.95","3,188.32","3,162.12","1.78B","0.42%"
"2021년 04월 13일","3,169.08","3,138.21","3,173.26","3,136.99","1.74B","1.07%"
"2021년 04월 12일","3,135.59","3,134.88","3,147.27","3,127.91","1.05B","0.12%"
"2021년 04월 09일","3,131.88","3,146.51","3,156.04","3,125.24","1.82B","-0.36%"
"2021년 04월 08일","3,143.26","3,137.25","3,145.81","3,122.09","1.36B","0.19%"
"2021년 04월 07일","3,137.41","3,129.07","3,146.19","3,125.33","1.98B","0.33%"
"2021년 04월 06일","3,127.08","3,123.80","3,139.29","3,110.19","1.28B","0.20%"
"2021년 04월 05일","3,120.83","3,121.23","3,127.20","3,101.86","1.08B","0.26%"
"2021년 04월 02일","3,112.80","3,104.72","3,121.58","3,101.60","792.70M","0.82%"
"2021년 04월 01일","3,087.40","3,073.77","3,090.88","3,069.68","922.68M","0.85%"
"2021년 03월 31일","3,061.42","3,073.39","3,093.89","3,061.40","1.15B","-0.28%"
"2021년 03월 30일","3,070.00","3,038.44","3,074.57","3,038.44","1.02B","1.12%"
"2021년 03월 29일","3,036.04","3,047.71","3,054.21","3,025.39","1.29B","-0.16%"
"2021년 03월 26일","3,041.01","3,012.79","3,041.86","3,012.79","1.04B","1.09%"
"2021년 03월 25일","3,008.33","2,995.67","3,024.63","2,987.83","940.35M","0.40%"
"2021년 03월 24일","2,996.35","2,996.32","3,006.54","2,971.04","978.43M","-0.28%"
"2021년 03월 23일","3,004.74","3,038.25","3,058.79","3,003.05","1.33B","-1.01%"
"2021년 03월 22일","3,035.46","3,040.01","3,048.11","3,019.60","915.74M","-0.13%"
"2021년 03월 19일","3,039.53","3,063.01","3,063.01","3,022.49","1.07B","-0.86%"
"2021년 03월 18일","3,066.01","3,054.93","3,090.19","3,054.93","1.23B","0.61%"
"2021년 03월 17일","3,047.50","3,067.76","3,069.57","3,027.20","814.99M","-0.64%"
"2021년 03월 16일","3,067.17","3,049.23","3,071.54","3,049.23","1.12B","0.70%"
"2021년 03월 15일","3,045.71","3,057.06","3,065.17","3,036.14","1.16B","-0.28%"
"2021년 03월 12일","3,054.39","3,030.73","3,061.43","3,030.73","1.67B","1.35%"
"2021년 03월 11일","3,013.70","2,964.30","3,028.37","2,964.30","1.35B","1.88%"
"2021년 03월 10일","2,958.12","2,980.76","3,013.95","2,951.53","905.65M","-0.60%"
"2021년 03월 09일","2,976.12","2,989.96","3,000.49","2,929.36","1.53B","-0.67%"
"2021년 03월 08일","2,996.11","3,031.99","3,055.65","2,992.64","1.93B","-1.00%"
"2021년 03월 05일","3,026.26","3,036.16","3,036.98","2,982.45","1.19B","-0.57%"
"2021년 03월 04일","3,043.49","3,076.88","3,076.88","3,022.54","1.28B","-1.28%"
"2021년 03월 03일","3,082.99","3,041.20","3,083.04","3,029.37","2.24B","1.29%"
"2021년 03월 02일","3,043.87","3,021.68","3,096.50","3,020.74","1.75B","1.03%"
"2021년 02월 26일","3,012.95","3,089.49","3,089.49","2,988.28","1.36B","-2.80%"
"2021년 02월 25일","3,099.69","3,026.47","3,099.80","3,026.47","1.28B","3.50%"
"2021년 02월 24일","2,994.98","3,070.58","3,092.05","2,993.46","1.56B","-2.45%"
"2021년 02월 23일","3,070.09","3,069.26","3,094.29","3,035.46","2.36B","-0.31%"
"2021년 02월 22일","3,079.75","3,114.03","3,142.48","3,079.16","1.83B","-0.90%"
"2021년 02월 19일","3,107.62","3,089.96","3,109.67","3,040.28","3.46B","0.68%"
"2021년 02월 18일","3,086.66","3,131.74","3,140.40","3,086.66","1.86B","-1.50%"
"2021년 02월 17일","3,133.73","3,162.95","3,162.95","3,115.48","1.78B","-0.93%"
"2021년 02월 16일","3,163.25","3,151.85","3,180.94","3,145.84","1.94B","0.52%"
"2021년 02월 15일","3,147.00","3,108.70","3,156.56","3,108.70","1.60B","1.50%"
"2021년 02월 10일","3,100.58","3,088.13","3,111.88","3,064.25","2.15B","0.52%"
"2021년 02월 09일","3,084.67","3,102.25","3,129.66","3,084.67","2.15B","-0.21%"
"2021년 02월 08일","3,091.24","3,113.63","3,128.54","3,085.59","1.28B","-0.94%"
"2021년 02월 05일","3,120.63","3,098.49","3,124.62","3,081.78","1.19B","1.07%"
"2021년 02월 04일","3,087.55","3,135.02","3,135.02","3,068.46","1.46B","-1.35%"
"2021년 02월 03일","3,129.68","3,108.42","3,142.26","3,091.85","901.79M","1.06%"
"2021년 02월 02일","3,096.81","3,065.56","3,138.95","3,065.56","887.31M","1.32%"
"2021년 02월 01일","3,056.53","2,976.81","3,056.87","2,947.24","969.26M","2.70%"
"2021년 01월 29일","2,976.21","3,078.73","3,100.22","2,962.70","995.07M","-3.03%"
"2021년 01월 28일","3,069.05","3,114.98","3,114.98","3,046.64","1.31B","-1.71%"
"2021년 01월 27일","3,122.56","3,143.46","3,182.53","3,118.89","924.58M","-0.57%"
"2021년 01월 26일","3,140.31","3,203.96","3,209.18","3,132.67","873.02M","-2.14%"
"2021년 01월 25일","3,208.99","3,144.01","3,212.22","3,142.80","1.09B","2.18%"
"2021년 01월 22일","3,140.63","3,163.83","3,185.26","3,140.60","1.11B","-0.64%"
"2021년 01월 21일","3,160.84","3,123.27","3,163.21","3,123.27","1.36B","1.49%"
"2021년 01월 20일","3,114.55","3,115.04","3,145.01","3,077.15","1.19B","0.71%"
"2021년 01월 19일","3,092.66","3,013.05","3,107.00","3,011.32","1.35B","2.61%"
"2021년 01월 18일","3,013.93","3,079.90","3,079.90","3,003.89","1.47B","-2.33%"
"2021년 01월 15일","3,085.90","3,153.84","3,189.90","3,085.90","1.33B","-2.03%"
"2021년 01월 14일","3,149.93","3,148.65","3,159.03","3,128.72","1.23B","0.05%"
"2021년 01월 13일","3,148.29","3,128.26","3,164.37","3,109.63","1.58B","0.71%"
"2021년 01월 12일","3,125.95","3,145.87","3,154.79","3,047.56","1.39B","-0.71%"
"2021년 01월 11일","3,148.45","3,161.90","3,266.23","3,096.19","1.71B","-0.12%"
"2021년 01월 08일","3,152.18","3,040.11","3,161.11","3,040.11","1.30B","3.97%"
"2021년 01월 07일","3,031.68","2,980.75","3,055.28","2,980.75","1.52B","2.14%"
"2021년 01월 06일","2,968.21","2,993.34","3,027.16","2,961.37","1.79B","-0.75%"
"2021년 01월 05일","2,990.57","2,943.67","2,990.57","2,921.84","1.52B","1.57%"
"2021년 01월 04일","2,944.45","2,874.50","2,946.54","2,869.11","1.03B","2.47%"
"2020년 12월 30일","2,873.47","2,820.36","2,878.21","2,809.35","1.07B","1.88%"
"2020년 12월 29일","2,820.51","2,810.55","2,823.44","2,792.06","1.05B","0.42%"
"2020년 12월 28일","2,808.60","2,820.95","2,834.59","2,799.56","1.01B","0.06%"
"2020년 12월 24일","2,806.86","2,762.60","2,812.16","2,762.60","1.03B","1.70%"
"2020년 12월 23일","2,759.82","2,737.74","2,769.08","2,716.28","1.12B","0.96%"
"2020년 12월 22일","2,733.68","2,772.03","2,774.22","2,733.64","1.26B","-1.62%"
"2020년 12월 21일","2,778.65","2,771.98","2,780.24","2,747.09","1.14B","0.23%"
"2020년 12월 18일","2,772.18","2,770.95","2,782.15","2,762.80","1.06B","0.06%"
"2020년 12월 17일","2,770.43","2,769.89","2,772.71","2,742.25","1.02B","-0.05%"
"2020년 12월 16일","2,771.79","2,763.64","2,781.08","2,761.50","1.17B","0.54%"
"2020년 12월 15일","2,756.82","2,763.65","2,769.37","2,735.08","1.09B","-0.19%"
"2020년 12월 14일","2,762.20","2,769.43","2,782.79","2,755.29","1.11B","-0.28%"
"2020년 12월 11일","2,770.06","2,754.16","2,781.04","2,754.16","1.22B","0.86%"
"2020년 12월 10일","2,746.46","2,750.34","2,765.46","2,718.70","1.23B","-0.33%"
"2020년 12월 09일","2,755.47","2,703.30","2,755.47","2,703.30","1.25B","2.02%"
"2020년 12월 08일","2,700.93","2,745.13","2,747.45","2,700.92","1.42B","-1.62%"
"2020년 12월 07일","2,745.44","2,738.11","2,754.01","2,711.42","1.50B","0.51%"
"2020년 12월 04일","2,731.45","2,705.34","2,742.77","2,705.34","1.78B","1.31%"
"2020년 12월 03일","2,696.22","2,686.38","2,696.22","2,672.85","817.07M","0.76%"
"2020년 12월 02일","2,675.90","2,645.88","2,677.26","2,644.53","1.08B","1.58%"
"2020년 12월 01일","2,634.25","2,613.42","2,638.87","2,611.67","1.15B","1.66%"
"2020년 11월 30일","2,591.34","2,648.05","2,648.66","2,591.34","1.31B","-1.60%"
"2020년 11월 27일","2,633.45","2,624.80","2,635.00","2,618.47","1.20B","0.29%"
"2020년 11월 26일","2,625.91","2,605.73","2,625.97","2,592.43","1.39B","0.94%"
"2020년 11월 25일","2,601.54","2,637.34","2,642.26","2,583.41","1.41B","-0.62%"
"2020년 11월 24일","2,617.76","2,616.28","2,628.52","2,605.03","1.36B","0.58%"
"2020년 11월 23일","2,602.59","2,560.04","2,605.58","2,553.70","1.65B","1.92%"
"2020년 11월 20일","2,553.50","2,544.06","2,558.21","2,539.79","1.13B","0.24%"
"2020년 11월 19일","2,547.42","2,536.89","2,548.95","2,529.53","976.48M","0.07%"
"2020년 11월 18일","2,545.64","2,548.85","2,553.95","2,536.78","923.50M","0.26%"
"2020년 11월 17일","2,539.15","2,544.12","2,556.09","2,533.34","1.27B","-0.15%"
"2020년 11월 16일","2,543.03","2,507.46","2,546.37","2,507.46","1.24B","1.97%"
"2020년 11월 13일","2,493.87","2,470.12","2,495.77","2,460.96","1.07B","0.74%"
"2020년 11월 12일","2,475.62","2,482.68","2,488.79","2,467.04","1.28B","-0.41%"
"2020년 11월 11일","2,485.87","2,459.50","2,488.04","2,459.50","1.27B","1.35%"
"2020년 11월 10일","2,452.83","2,453.95","2,457.94","2,435.59","1.46B","0.23%"
"2020년 11월 09일","2,447.20","2,438.63","2,459.15","2,434.52","1.35B","1.27%"
"2020년 11월 06일","2,416.50","2,421.79","2,431.11","2,404.97","825.57M","0.11%"
