카테고리: 모든 카테고리

주,가상화폐: (대한민국)
2016-05-15,0
2016-05-22,0
2016-05-29,1
2016-06-05,0
2016-06-12,<1
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,<1
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,1
2016-09-04,0
2016-09-11,0
2016-09-18,<1
2016-09-25,0
2016-10-02,<1
2016-10-09,1
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,<1
2016-11-20,0
2016-11-27,1
2016-12-04,<1
2016-12-11,0
2016-12-18,1
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,<1
2017-01-22,0
2017-01-29,<1
2017-02-05,1
2017-02-12,1
2017-02-19,0
2017-02-26,<1
2017-03-05,<1
2017-03-12,<1
2017-03-19,0
2017-03-26,<1
2017-04-02,1
2017-04-09,0
2017-04-16,1
2017-04-23,1
2017-04-30,1
2017-05-07,2
2017-05-14,2
2017-05-21,5
2017-05-28,6
2017-06-04,3
2017-06-11,7
2017-06-18,7
2017-06-25,8
2017-07-02,6
2017-07-09,4
2017-07-16,6
2017-07-23,6
2017-07-30,3
2017-08-06,4
2017-08-13,4
2017-08-20,6
2017-08-27,10
2017-09-03,12
2017-09-10,12
2017-09-17,9
2017-09-24,6
2017-10-01,4
2017-10-08,5
2017-10-15,8
2017-10-22,5
2017-10-29,6
2017-11-05,4
2017-11-12,7
2017-11-19,9
2017-11-26,13
2017-12-03,23
2017-12-10,28
2017-12-17,39
2017-12-24,28
2017-12-31,40
2018-01-07,100
2018-01-14,78
2018-01-21,42
2018-01-28,36
2018-02-04,29
2018-02-11,17
2018-02-18,16
2018-02-25,7
2018-03-04,11
2018-03-11,12
2018-03-18,14
2018-03-25,9
2018-04-01,10
2018-04-08,8
2018-04-15,10
2018-04-22,8
2018-04-29,7
2018-05-06,7
2018-05-13,6
2018-05-20,7
2018-05-27,6
2018-06-03,3
2018-06-10,6
2018-06-17,4
2018-06-24,6
2018-07-01,4
2018-07-08,5
2018-07-15,5
2018-07-22,5
2018-07-29,4
2018-08-05,5
2018-08-12,5
2018-08-19,3
2018-08-26,5
2018-09-02,5
2018-09-09,4
2018-09-16,2
2018-09-23,3
2018-09-30,4
2018-10-07,3
2018-10-14,2
2018-10-21,2
2018-10-28,3
2018-11-04,4
2018-11-11,3
2018-11-18,3
2018-11-25,4
2018-12-02,3
2018-12-09,2
2018-12-16,3
2018-12-23,1
2018-12-30,1
2019-01-06,3
2019-01-13,3
2019-01-20,3
2019-01-27,1
2019-02-03,2
2019-02-10,2
2019-02-17,3
2019-02-24,2
2019-03-03,2
2019-03-10,1
2019-03-17,1
2019-03-24,3
2019-03-31,5
2019-04-07,3
2019-04-14,3
2019-04-21,1
2019-04-28,1
2019-05-05,2
2019-05-12,6
2019-05-19,3
2019-05-26,4
2019-06-02,1
2019-06-09,1
2019-06-16,2
2019-06-23,4
2019-06-30,3
2019-07-07,2
2019-07-14,1
2019-07-21,2
2019-07-28,2
2019-08-04,1
2019-08-11,2
2019-08-18,2
2019-08-25,1
2019-09-01,2
2019-09-08,<1
2019-09-15,1
2019-09-22,1
2019-09-29,1
2019-10-06,1
2019-10-13,3
2019-10-20,2
2019-10-27,2
2019-11-03,1
2019-11-10,1
2019-11-17,3
2019-11-24,1
2019-12-01,2
2019-12-08,1
2019-12-15,<1
2019-12-22,1
2019-12-29,<1
2020-01-05,0
2020-01-12,2
2020-01-19,1
2020-01-26,1
2020-02-02,1
2020-02-09,2
2020-02-16,1
2020-02-23,1
2020-03-01,1
2020-03-08,2
2020-03-15,1
2020-03-22,2
2020-03-29,1
2020-04-05,1
2020-04-12,1
2020-04-19,1
2020-04-26,2
2020-05-03,1
2020-05-10,1
2020-05-17,1
2020-05-24,2
2020-05-31,2
2020-06-07,1
2020-06-14,1
2020-06-21,1
2020-06-28,2
2020-07-05,1
2020-07-12,1
2020-07-19,1
2020-07-26,2
2020-08-02,2
2020-08-09,2
2020-08-16,1
2020-08-23,2
2020-08-30,1
2020-09-06,1
2020-09-13,1
2020-09-20,1
2020-09-27,2
2020-10-04,1
2020-10-11,1
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-08,1
2020-11-15,2
2020-11-22,2
2020-11-29,3
2020-12-06,1
2020-12-13,2
2020-12-20,3
2020-12-27,4
2021-01-03,5
2021-01-10,6
2021-01-17,1
2021-01-24,3
2021-01-31,3
2021-02-07,4
2021-02-14,6
2021-02-21,7
2021-02-28,5
2021-03-07,5
2021-03-14,6
2021-03-21,7
2021-03-28,7
2021-04-04,8
2021-04-11,8
2021-04-18,18
2021-04-25,11
2021-05-02,12
2021-05-09,3
