pos_tag,method1,method2,formula,f1,acc
all,count,2_방향,sen_score2,0.7700892857142857,0.7851929092805006
all,count,1,sen_score2,0.6245847176079734,0.7643378519290928
all,score,1,sen_score2,0.5813528336380256,0.7612095933263816
all,count,1,sen_score1,0.6133333333333333,0.7580813347236705
all,count,2_방향,sen_score1,0.72707182320442,0.7424400417101147
all,score,1,sen_score1,0.5517241379310345,0.7288842544316997
nouns,count,1,sen_score2,0.44585987261146504,0.7278415015641293
nouns,score,1,sen_score2,0.45454545454545453,0.7247132429614181
all,score,2_방향,sen_score2,0.6022871664548919,0.6736183524504692
all,score,2_방향,sen_score1,0.585956416464891,0.643378519290928
nouns,count,1,sen_score1,0.37613019891500904,0.6402502606882169
nouns,score,1,sen_score1,0.39365079365079364,0.6016684045881127
nouns,count,2_크기,sen_score2,0.5726872246696034,0.5954118873826904
all,count,2_크기,sen_score2,0.5112781954887219,0.5933263816475496
nouns,score,2_크기,sen_score2,0.5531428571428572,0.5922836287799792
nouns,count,2_크기,sen_score1,0.5612134344528711,0.5776850886339937
all,score,2_크기,sen_score2,0.5054151624548736,0.5714285714285714
nouns,score,2_크기,sen_score1,0.573469387755102,0.5641293013555787
all,count,2_크기,sen_score1,0.49590643274853796,0.5505735140771637
all,score,2_크기,sen_score1,0.5286160249739854,0.5276329509906152
nouns,score,2_방향,sen_score1,0.5648312611012433,0.48905109489051096
nouns,count,2_방향,sen_score2,0.5669291338582678,0.48383733055265904
nouns,count,2_방향,sen_score1,0.552346570397112,0.48279457768508866
nouns,score,2_방향,sen_score2,0.5494106980961015,0.48175182481751827
