날짜,커뮤니티_변동성_전체,커뮤니티_변동성_크기,커뮤니티_변동성_방향
2021.04.30.,0.5087719298245614,,0.32
2021.04.29.,0.02857142857142857,1.0,-0.2
2021.04.28.,-0.02040816326530612,0.5714285714285714,-0.5238095238095238
2021.04.27.,0.0625,0.14285714285714285,-0.037037037037037035
2021.04.26.,0.625,0.4285714285714286,0.5686274509803921
2021.04.24.,1.0,0.7142857142857144,0.2
2021.04.23.,0.25,1.0,0.14285714285714285
2021.04.22.,0.42857142857142855,1.0,-0.25
2021.04.20.,-0.3333333333333333,1.0,-0.5555555555555556
2021.04.19.,-0.3333333333333333,1.0,-0.3333333333333333
2021.04.18.,-0.7142857142857143,1.0,-0.3333333333333333
2021.04.16.,0.09090909090909091,1.0,-0.24
2021.04.15.,-0.06666666666666667,0.0,-0.8888888888888888
2021.04.14.,0.375,1.0,-0.5555555555555556
2021.04.13.,0.6666666666666666,0.33333333333333337,0.6666666666666666
2021.04.12.,0.0,-0.33333333333333326,-0.10416666666666663
2021.04.09.,-0.058823529411764705,-1.0,-0.875
2021.04.08.,0.3333333333333333,1.0,0.2727272727272727
2021.04.07.,0.0,1.0,-0.42857142857142855
2021.04.06.,0.0,1.0,-0.7777777777777778
2021.04.05.,0.5471698113207547,-1.0,0.22330097087378642
2021.04.04.,0.23809523809523808,1.0,0.3333333333333333
2021.04.03.,-1.0,0.9166666666666666,-1.0
2021.04.02.,0.6666666666666666,0.8333333333333334,0.8333333333333334
2021.04.01.,0.0,0.75,-0.30434782608695654
2021.03.31.,0.0,-0.125,0.25
2021.03.30.,0.0,-1.0,1.0
2021.03.29.,0.8461538461538461,-1.0,-1.0
2021.03.27.,-0.6666666666666666,-1.0,0.25
2021.03.25.,-0.3333333333333333,0.0,-0.5
2021.03.24.,0.0,0.25,0.0
2021.03.23.,-0.14285714285714285,0.5,0.42857142857142855
2021.03.22.,-1.0,0.75,-1.0
2021.03.21.,0.42857142857142855,1.0,0.25
2021.03.20.,-0.1,0.0,-0.5555555555555556
2021.03.19.,1.0,1.0,0.45454545454545453
2021.03.18.,-0.7714285714285715,1.0,-0.68
2021.03.17.,1.0,1.0,0.3333333333333333
2021.03.16.,1.0,1.0,1.0
2021.03.15.,-1.0,0.0,-1.0
2021.03.14.,-1.0,-1.0,1.0
2021.03.13.,0.42857142857142855,0.42857142857142855,-0.15789473684210525
2021.03.12.,0.5714285714285714,0.6190476190476191,1.0
2021.03.11.,0.7142857142857143,0.8095238095238095,-0.14285714285714285
2021.03.10.,0.45454545454545453,1.0,-0.18518518518518517
2021.03.09.,0.0,1.0,0.125
2021.03.08.,-0.21052631578947367,-1.0,0.4634146341463415
2021.03.05.,-0.8,-1.0,-0.6666666666666666
2021.03.04.,-1.0,1.0,-1.0
2021.03.03.,0.7777777777777778,1.0,0.3333333333333333
2021.03.02.,-1.0,1.0,-1.0
