pos_tag,method1,method2,formula,f1,acc
nouns,count,2_방향,sen_score1,0.785602503912363,0.7265469061876247
all,count,2_방향,sen_score1,0.783151326053042,0.7225548902195609
all,count,2_방향,sen_score2,0.782675947409126,0.719560878243513
nouns,count,2_방향,sen_score2,0.7793209876543209,0.7145708582834331
nouns,count,2_크기,sen_score1,0.7188264058679708,0.655688622754491
all,count,2_크기,sen_score1,0.7168284789644013,0.6506986027944112
nouns,score,2_방향,sen_score2,0.7432727272727272,0.6477045908183633
nouns,score,2_방향,sen_score1,0.7432727272727272,0.6477045908183633
all,score,2_방향,sen_score2,0.7431059506531205,0.6467065868263473
all,score,2_방향,sen_score1,0.7431059506531205,0.6467065868263473
nouns,count,2_크기,sen_score2,0.712218649517685,0.6427145708582834
all,count,2_크기,sen_score2,0.7099358974358975,0.6387225548902196
nouns,score,2_크기,sen_score1,0.6332155477031801,0.4820359281437126
all,score,2_크기,sen_score1,0.6332155477031801,0.4820359281437126
all,score,2_크기,sen_score2,0.6332155477031801,0.4820359281437126
nouns,score,2_크기,sen_score2,0.6332155477031801,0.4820359281437126
nouns,score,1,sen_score2,0.41812564366632343,0.436127744510978
all,score,1,sen_score2,0.41683778234086244,0.43313373253493015
nouns,score,1,sen_score1,0.41683778234086244,0.43313373253493015
all,score,1,sen_score1,0.41555783009211866,0.4301397205588822
nouns,count,1,sen_score1,0.41005802707930367,0.3912175648702595
all,count,1,sen_score1,0.40851887705711515,0.3902195608782435
all,count,1,sen_score2,0.4011142061281337,0.3562874251497006
nouns,count,1,sen_score2,0.4022242817423541,0.3562874251497006
