word,counts
비트코인,12125
가상화폐,8589
암호화폐,4520
블록체인,4051
거래소,3043
시세,1800
빗썸,1730
가상자산,1477
돌파,1468
등,1413
투자,1402
코인,1225
상장,1117
이더리움,1115
글로벌,1020
사기,1012
美,990
업비트,982
상승,981
박사방,956
거래,931
시장,901
대표,892
국내,887
조주빈,878
첫,870
경찰,869
하락,839
디지털,836
서비스,835
것,833
가격,817
정부,785
리플,771
플랫폼,771
급등,747
기자의,744
출시,722
읽기,713
코리,707
종합,646
달러,602
중,573
에,565
상승세,560
원,559
가상화폐거래소,558
결제,557
특금법,552
AI,547
규제,544
해킹,534
과세,530
테슬라,529
다시,520
혐의,513
또,508
급락,508
관련주,499
개최,499
의혹,498
브리핑,498
주가,496
검찰,490
더,484
수,483
머스크,479
미국,475
사상,473
페이스북,469
기반,461
n번방,460
리브라,459
디지털화폐,455
추진,451
원대,447
최고가,446
뉴스,439
투자자,437
中,423
세계,420
수사,420
공개,418
北,417
넥슨,415
세금,411
체결,407
회복,406
발표,398
시총,398
화폐,397
돈스코이호,396
기술,395
구속,393
왜,390
도지코인,386
추가,386
1,382
손정우,381
폭락,380
만에,379
중국,378
코인베이스,376
우리기술투자,372
게임,371
주식,369
ICO,368
올라,365
자산,364
대부분,364
정일훈,364
기업,363
外,362
발행,361
테마기업,360
전,360
주요,359
징역,357
최대,356
오픈,356
바이낸스,354
하락세,352
마약,350
카카오,349
돈,348
기소,346
한,342
경신,339
올해,339
신일그룹,339
피해,338
위한,337
투자사기,337
은성수,336
관련,336
지금,335
개발,334
진출,334
한국,330
비덴트,329
강화,328
코빗,328
가상통화,324
도입,322
속,320
시대,320
두나무,320
불법,319
강세,318
vs,316
금융,313
없다,312
논란,311
유지,310
및,310
보물선,309
코인원,307
모두,307
사업,306
단독,305
압수수색,299
특징주,297
북한,297
진행,296
업계,294
원대로,293
새,289
김정주,286
후,285
코인빗,285
AI봇,285
채굴,284
0,284
내년,284
대체로,284
토큰,283
우려,281
지원,279
텔레그램,279
지속,277
후오비,275
내림세,273
최초,272
있다,271
전망,271
미,271
적발,269
구축,266
비투비,266
조사,264
보안,264
위해,263
20대,262
이어,262
필요,260
가능성,260
가능,258
이슈,257
이유,255
아주경제,255
이,255
BTC,255
뉴욕증시,254
검거,250
비트코인으로,250
확대,249
경제,249
CBDC,249
증시,249
2,248
코로나19,248
CEO,246
日,246
비트코인은,245
은행,244
시작,244
일당,242
로,241
공범,240
이벤트,239
시스템,238
코이너스,236
인수,236
1위,235
코로나,235
검토,234
소폭,233
프로젝트,232
급증,231
없어,230
이상,230
광풍,229
20%,229
NFT,227
미래,226
붕괴,226
폭등,223
새로운,222
2030,222
부동산,221
외,221
홍남기,218
해외,218
반등,218
2018,218
가상화폐로,217
24,214
안,213
하루,213
수익,213
오름세,213
제도권,212
보호,211
한은,211
중앙은행,210
알트코인,209
2019,209
디지털자산,208
싸이월드,208
없는,207
핀테크,207
기자,207
거래량,206
열풍,205
경고,204
MBC,203
Biz,203
이유는,202
MOU,201
온라인,200
혼조세,200
내,199
코리아,199
ETF,197
국회,197
트위터,197
주목,196
금융위,196
규모,196
내년부터,196
유료회원,196
대상,194
금융당국,193
디파이,193
못,191
증가,191
혼조,190
파월,190
2명,190
적용,190
금,188
대비,188
관심,187
아냐,186
인증,185
한때,185
나스닥,185
사이버,184
가장,184
공격,184
역대,183
추적,183
범죄,182
산업,180
성착취물,180
신규,179
랠리,178
지갑,178
오늘,177
일본,177
가입,177
앱,176
가치,176
운영,176
생태계,175
판매,174
넘어,174
2020,174
본격화,173
아니다,172
의,172
매각,172
의원,171
통과,171
자금세탁방지,171
코스피,169
다크웹,169
칼럼,168
3,168
거품,168
통해,168
대한민국,166
논의,166
고객,166
으로,165
3명,165
이주열,165
큰,164
공식,164
협력,164
신한은행,164
보이스피싱,164
법원,163
해커,162
스타트업,162
글로벌포스트,162
변동성,162
靑,161
5만달러,161
인터뷰,160
전문,160
압류,159
송금,159
실명계좌,158
회원,158
최고,157
최고치,157
암호화폐거래소,157
업체,157
대응,156
설립,156
포토,156
사건,155
1000만원,155
다단계,154
장중,154
펀드,154
제공,153
유출,152
정책,151
공방,151
10%,151
전략적,151
계좌,151
와,150
박사,150
코인업,150
참여,149
마련,149
선정,149
실시,149
대마초,148
정보,147
유엔,147
위지트,146
인정,146
메타버스,146
ISMS,146
혐의로,146
직원,145
1년,144
어떻게,144
모바일,144
암호,143
VS,142
與,142
진입,142
획득,142
4,142
파트너십,142
영향,141
예정,141
보고서,141
기대,141
확보,141
아닌,140
피해자,140
운영자,140
결정,139
회장,139
가,139
육박,138
주의보,138
투자자들,138
이후,138
다,138
구매,138
오늘의,137
네이버,137
韓,137
5,136
투기,136
자금세탁,136
아동,136
많아,136
솔루션,136
부따,136
체납자,135
듯,135
떨어져,135
확산,135
금감원,135
