"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 30일","68,075,000","63,712,000","68,075,000","63,712,000","1.18K","6.85%"
"2021년 04월 29일","63,710,000","64,100,000","64,100,000","63,710,000","0.92K","-0.63%"
"2021년 04월 28일","64,116,000","64,767,000","64,767,000","64,064,000","0.91K","-0.96%"
"2021년 04월 27일","64,738,000","64,199,000","64,738,000","64,146,000","0.88K","0.84%"
"2021년 04월 26일","64,196,000","59,700,000","64,196,000","59,700,000","1.48K","7.54%"
"2021년 04월 25일","59,696,000","60,814,000","60,923,000","59,696,000","1.81K","-1.84%"
"2021년 04월 24일","60,813,000","61,355,000","61,355,000","60,398,000","1.27K","-0.92%"
"2021년 04월 23일","61,380,000","59,500,000","61,380,000","57,124,000","2.28K","3.16%"
"2021년 04월 22일","59,500,000","67,884,000","67,884,000","59,500,000","3.46K","-12.25%"
"2021년 04월 21일","67,805,000","70,299,000","70,299,000","67,805,000","1.24K","-3.53%"
"2021년 04월 20일","70,289,000","71,001,000","71,001,000","69,713,000","1.28K","-1.00%"
"2021년 04월 19일","71,001,000","75,810,000","75,810,000","71,001,000","1.85K","-6.31%"
"2021년 04월 18일","75,783,000","77,956,000","77,956,000","72,986,000","1.63K","-2.79%"
"2021년 04월 17일","77,959,000","79,250,000","79,250,000","77,646,000","1.05K","-1.58%"
"2021년 04월 16일","79,213,000","79,425,000","79,524,000","79,110,000","1.16K","-0.27%"
"2021년 04월 15일","79,425,000","80,171,000","80,171,000","79,425,000","0.93K","-0.93%"
"2021년 04월 14일","80,171,000","80,663,000","80,663,000","80,146,000","1.16K","-0.61%"
"2021년 04월 13일","80,661,000","78,009,000","80,661,000","78,009,000","1.39K","3.45%"
"2021년 04월 12일","77,974,000","78,500,000","78,500,000","77,949,000","0.63K","-0.71%"
"2021년 04월 11일","78,534,000","78,310,000","78,757,000","78,310,000","0.56K","0.30%"
"2021년 04월 10일","78,303,000","75,655,000","78,303,000","75,655,000","1.10K","3.52%"
"2021년 04월 09일","75,642,000","75,132,000","75,642,000","75,132,000","0.70K","0.61%"
"2021년 04월 08일","75,183,000","72,980,000","75,183,000","72,391,000","0.97K","3.11%"
"2021년 04월 07일","72,914,000","77,793,000","78,550,000","72,914,000","1.29K","-6.27%"
"2021년 04월 06일","77,792,000","78,300,000","78,300,000","77,792,000","1.34K","-0.65%"
"2021년 04월 05일","78,300,000","73,924,000","78,300,000","73,924,000","1.71K","5.92%"
"2021년 04월 04일","73,924,000","72,076,000","74,121,000","72,076,000","0.81K","2.56%"
"2021년 04월 03일","72,076,000","73,697,000","74,672,000","72,076,000","1.77K","-2.20%"
"2021년 04월 02일","73,697,000","72,292,000","73,697,000","72,292,000","0.86K","1.91%"
"2021년 04월 01일","72,314,000","71,001,000","72,402,000","71,001,000","1.14K","1.89%"
"2021년 03월 31일","70,974,000","70,455,000","70,974,000","70,455,000","1.15K","0.72%"
"2021년 03월 30일","70,470,000","68,407,000","70,470,000","68,407,000","0.65K","3.04%"
"2021년 03월 29일","68,391,000","67,025,000","68,391,000","66,877,000","1.08K","2.02%"
"2021년 03월 28일","67,035,000","66,428,000","67,035,000","66,428,000","0.68K","0.79%"
"2021년 03월 27일","66,510,000","65,601,000","66,510,000","65,601,000","0.92K","1.39%"
"2021년 03월 26일","65,601,000","63,146,000","65,601,000","63,146,000","0.79K","4.02%"
"2021년 03월 25일","63,066,000","64,700,000","64,700,000","63,066,000","1.11K","-2.53%"
"2021년 03월 24일","64,700,000","65,347,000","66,358,000","64,700,000","1.72K","-0.94%"
"2021년 03월 23일","65,314,000","64,452,000","65,654,000","64,452,000","1.09K","1.34%"
"2021년 03월 22일","64,453,000","67,103,000","67,306,000","64,453,000","1.74K","-3.94%"
"2021년 03월 21일","67,097,000","67,470,000","67,470,000","67,097,000","0.80K","-0.56%"
"2021년 03월 20일","67,473,000","67,729,000","68,476,000","67,473,000","1.15K","-0.37%"
"2021년 03월 19일","67,726,000","66,905,000","67,726,000","66,905,000","0.85K","1.23%"
"2021년 03월 18일","66,900,000","68,342,000","68,342,000","66,900,000","1.63K","-2.12%"
"2021년 03월 17일","68,346,000","65,998,000","68,346,000","63,726,000","2.17K","3.56%"
"2021년 03월 16일","65,997,000","64,432,000","65,997,000","63,078,000","0.98K","2.43%"
"2021년 03월 15일","64,429,000","68,567,000","68,567,000","63,839,000","1.31K","-6.01%"
"2021년 03월 14일","68,550,000","70,588,000","70,815,000","68,550,000","0.78K","-2.91%"
"2021년 03월 13일","70,604,000","66,447,000","70,604,000","66,447,000","1.55K","6.23%"
"2021년 03월 12일","66,465,000","66,103,000","66,684,000","66,103,000","1.24K","0.55%"
"2021년 03월 11일","66,103,000","64,206,000","66,103,000","64,206,000","1.74K","3.04%"
"2021년 03월 10일","64,151,000","62,950,000","64,237,000","62,950,000","2.10K","1.96%"
"2021년 03월 09일","62,916,000","59,796,000","62,916,000","59,579,000","1.32K","5.25%"
"2021년 03월 08일","59,777,000","58,016,000","59,777,000","58,016,000","4.55K","3.04%"
"2021년 03월 07일","58,016,000","56,073,000","58,016,000","56,073,000","1.15K","3.44%"
"2021년 03월 06일","56,086,000","56,533,000","56,533,000","56,086,000","4.16K","-0.74%"
"2021년 03월 05일","56,506,000","56,325,000","56,506,000","56,325,000","6.09K","0.28%"
"2021년 03월 04일","56,351,000","57,782,000","57,782,000","55,914,000","1.92K","-2.58%"
