날짜,bitcoin,virtualcurrency,cryptocurrency,coin
2018.8.1,5,4,22,12
2018.8.2,5,4,22,12
2018.8.3,5,4,22,12
2018.8.4,5,4,22,12
2018.8.5,8,5,15,15
2018.8.6,8,5,15,15
2018.8.7,8,5,15,15
2018.8.8,8,5,15,15
2018.8.9,8,5,15,15
2018.8.10,8,5,15,15
2018.8.11,8,5,15,15
2018.8.12,6,5,19,14
2018.8.13,6,5,19,14
2018.8.14,6,5,19,14
2018.8.15,6,5,19,14
2018.8.16,6,5,19,14
2018.8.17,6,5,19,14
2018.8.18,6,5,19,14
2018.8.19,8,3,23,13
2018.8.20,8,3,23,13
2018.8.21,8,3,23,13
2018.8.22,8,3,23,13
2018.8.23,8,3,23,13
2018.8.24,8,3,23,13
2018.8.25,8,3,23,13
2018.8.26,6,5,26,14
2018.8.27,6,5,26,14
2018.8.28,6,5,26,14
2018.8.29,6,5,26,14
2018.8.30,6,5,26,14
2018.8.31,6,5,26,14
2018.9.1,6,5,26,14
2018.9.2,8,5,14,13
2018.9.3,8,5,14,13
2018.9.4,8,5,14,13
2018.9.5,8,5,14,13
2018.9.6,8,5,14,13
2018.9.7,8,5,14,13
2018.9.8,8,5,14,13
2018.9.9,6,4,16,12
2018.9.10,6,4,16,12
2018.9.11,6,4,16,12
2018.9.12,6,4,16,12
2018.9.13,6,4,16,12
2018.9.14,6,4,16,12
2018.9.15,6,4,16,12
2018.9.16,7,2,10,11
2018.9.17,7,2,10,11
2018.9.18,7,2,10,11
2018.9.19,7,2,10,11
2018.9.20,7,2,10,11
2018.9.21,7,2,10,11
2018.9.22,7,2,10,11
2018.9.23,6,3,10,9
2018.9.24,6,3,10,9
2018.9.25,6,3,10,9
2018.9.26,6,3,10,9
2018.9.27,6,3,10,9
2018.9.28,6,3,10,9
2018.9.29,6,3,10,9
2018.9.30,5,4,25,8
2018.10.1,5,4,25,8
2018.10.2,5,4,25,8
2018.10.3,5,4,25,8
2018.10.4,5,4,25,8
2018.10.5,5,4,25,8
2018.10.6,5,4,25,8
2018.10.7,5,3,22,9
2018.10.8,5,3,22,9
2018.10.9,5,3,22,9
2018.10.10,5,3,22,9
2018.10.11,5,3,22,9
2018.10.12,5,3,22,9
2018.10.13,5,3,22,9
2018.10.14,7,2,22,10
2018.10.15,7,2,22,10
2018.10.16,7,2,22,10
2018.10.17,7,2,22,10
2018.10.18,7,2,22,10
2018.10.19,7,2,22,10
2018.10.20,7,2,22,10
2018.10.21,5,2,18,8
2018.10.22,5,2,18,8
2018.10.23,5,2,18,8
2018.10.24,5,2,18,8
2018.10.25,5,2,18,8
2018.10.26,5,2,18,8
2018.10.27,5,2,18,8
2018.10.28,6,3,16,8
2018.10.29,6,3,16,8
2018.10.30,6,3,16,8
2018.10.31,6,3,16,8
2018.11.1,6,3,16,8
2018.11.2,6,3,16,8
2018.11.3,6,3,16,8
2018.11.4,6,4,17,10
2018.11.5,6,4,17,10
2018.11.6,6,4,17,10
2018.11.7,6,4,17,10
2018.11.8,6,4,17,10
2018.11.9,6,4,17,10
2018.11.10,6,4,17,10
2018.11.11,7,3,21,11
2018.11.12,7,3,21,11
2018.11.13,7,3,21,11
2018.11.14,7,3,21,11
2018.11.15,7,3,21,11
2018.11.16,7,3,21,11
2018.11.17,7,3,21,11
2018.11.18,10,3,23,11
2018.11.19,10,3,23,11
2018.11.20,10,3,23,11
2018.11.21,10,3,23,11
2018.11.22,10,3,23,11
2018.11.23,10,3,23,11
2018.11.24,10,3,23,11
2018.11.25,9,4,16,10
2018.11.26,9,4,16,10
2018.11.27,9,4,16,10
2018.11.28,9,4,16,10
2018.11.29,9,4,16,10
2018.11.30,9,4,16,10
2018.12.1,9,4,16,10
2018.12.2,10,3,25,10
2018.12.3,10,3,25,10
2018.12.4,10,3,25,10
2018.12.5,10,3,25,10
2018.12.6,10,3,25,10
2018.12.7,10,3,25,10
2018.12.8,10,3,25,10
2018.12.9,8,2,25,10
2018.12.10,8,2,25,10
2018.12.11,8,2,25,10
2018.12.12,8,2,25,10
2018.12.13,8,2,25,10
2018.12.14,8,2,25,10
2018.12.15,8,2,25,10
2018.12.16,7,3,18,11
2018.12.17,7,3,18,11
2018.12.18,7,3,18,11
2018.12.19,7,3,18,11
2018.12.20,7,3,18,11
2018.12.21,7,3,18,11
2018.12.22,7,3,18,11
2018.12.23,8,1,28,11
2018.12.24,8,1,28,11
2018.12.25,8,1,28,11
2018.12.26,8,1,28,11
2018.12.27,8,1,28,11
2018.12.28,8,1,28,11
2018.12.29,8,1,28,11
2018.12.30,7,1,17,11
2018.12.31,7,1,17,11
2019.1.1,7,1,17,11
2019.1.2,7,1,17,11
2019.1.3,7,1,17,11
2019.1.4,7,1,17,11
2019.1.5,7,1,17,11
2019.1.6,6,3,24,8
2019.1.7,6,3,24,8
2019.1.8,6,3,24,8
2019.1.9,6,3,24,8
2019.1.10,6,3,24,8
2019.1.11,6,3,24,8
2019.1.12,6,3,24,8
2019.1.13,5,3,14,10
2019.1.14,5,3,14,10
2019.1.15,5,3,14,10
2019.1.16,5,3,14,10
2019.1.17,5,3,14,10
2019.1.18,5,3,14,10
2019.1.19,5,3,14,10
2019.1.20,5,3,12,8
2019.1.21,5,3,12,8
2019.1.22,5,3,12,8
2019.1.23,5,3,12,8
2019.1.24,5,3,12,8
2019.1.25,5,3,12,8
2019.1.26,5,3,12,8
2019.1.27,5,1,17,9
2019.1.28,5,1,17,9
2019.1.29,5,1,17,9
2019.1.30,5,1,17,9
2019.1.31,5,1,17,9
2019.2.1,5,1,17,9
2019.2.2,5,1,17,9
2019.2.3,5,2,19,9
2019.2.4,5,2,19,9
2019.2.5,5,2,19,9
2019.2.6,5,2,19,9
2019.2.7,5,2,19,9
2019.2.8,5,2,19,9
2019.2.9,5,2,19,9
2019.2.10,5,2,16,9
2019.2.11,5,2,16,9
2019.2.12,5,2,16,9
2019.2.13,5,2,16,9
2019.2.14,5,2,16,9
2019.2.15,5,2,16,9
2019.2.16,5,2,16,9
2019.2.17,6,3,15,10
2019.2.18,6,3,15,10
2019.2.19,6,3,15,10
2019.2.20,6,3,15,10
2019.2.21,6,3,15,10
2019.2.22,6,3,15,10
2019.2.23,6,3,15,10
2019.2.24,5,2,14,9
2019.2.25,5,2,14,9
2019.2.26,5,2,14,9
2019.2.27,5,2,14,9
2019.2.28,5,2,14,9
2019.3.1,5,2,14,9
2019.3.2,5,2,14,9
2019.3.3,6,2,11,9
2019.3.4,6,2,11,9
2019.3.5,6,2,11,9
2019.3.6,6,2,11,9
2019.3.7,6,2,11,9
2019.3.8,6,2,11,9
2019.3.9,6,2,11,9
2019.3.10,5,1,11,10
2019.3.11,5,1,11,10
2019.3.12,5,1,11,10
2019.3.13,5,1,11,10
2019.3.14,5,1,11,10
2019.3.15,5,1,11,10
2019.3.16,5,1,11,10
2019.3.17,5,1,22,9
2019.3.18,5,1,22,9
2019.3.19,5,1,22,9
2019.3.20,5,1,22,9
2019.3.21,5,1,22,9
2019.3.22,5,1,22,9
2019.3.23,5,1,22,9
2019.3.24,5,3,11,8
2019.3.25,5,3,11,8
2019.3.26,5,3,11,8
2019.3.27,5,3,11,8
2019.3.28,5,3,11,8
2019.3.29,5,3,11,8
2019.3.30,5,3,11,8
2019.3.31,10,5,28,11
2019.4.1,10,5,28,11
2019.4.2,10,5,28,11
2019.4.3,10,5,28,11
2019.4.4,10,5,28,11
2019.4.5,10,5,28,11
2019.4.6,10,5,28,11
2019.4.7,7,3,17,9
2019.4.8,7,3,17,9
2019.4.9,7,3,17,9
2019.4.10,7,3,17,9
2019.4.11,7,3,17,9
2019.4.12,7,3,17,9
2019.4.13,7,3,17,9
2019.4.14,6,3,13,9
2019.4.15,6,3,13,9
2019.4.16,6,3,13,9
2019.4.17,6,3,13,9
2019.4.18,6,3,13,9
2019.4.19,6,3,13,9
2019.4.20,6,3,13,9
2019.4.21,7,1,11,9
2019.4.22,7,1,11,9
2019.4.23,7,1,11,9
2019.4.24,7,1,11,9
2019.4.25,7,1,11,9
2019.4.26,7,1,11,9
2019.4.27,7,1,11,9
2019.4.28,7,1,18,8
2019.4.29,7,1,18,8
2019.4.30,7,1,18,8
2019.5.1,7,1,18,8
2019.5.2,7,1,18,8
2019.5.3,7,1,18,8
2019.5.4,7,1,18,8
2019.5.5,7,2,17,10
2019.5.6,7,2,17,10
2019.5.7,7,2,17,10
2019.5.8,7,2,17,10
2019.5.9,7,2,17,10
2019.5.10,7,2,17,10
2019.5.11,7,2,17,10
2019.5.12,16,6,22,16
2019.5.13,16,6,22,16
2019.5.14,16,6,22,16
2019.5.15,16,6,22,16
2019.5.16,16,6,22,16
2019.5.17,16,6,22,16
2019.5.18,16,6,22,16
2019.5.19,12,3,20,11
2019.5.20,12,3,20,11
2019.5.21,12,3,20,11
2019.5.22,12,3,20,11
2019.5.23,12,3,20,11
2019.5.24,12,3,20,11
2019.5.25,12,3,20,11
2019.5.26,15,4,15,13
