날짜,비트코인,가상화폐,암호화폐,블록체인
2018-08-01,0.60924,0.38049,0.0756,0.07793
2018-08-02,0.43487,0.3001,0.06153,0.08812
2018-08-03,0.49276,0.37434,0.07426,0.08163
2018-08-04,0.38568,0.2013,0.04867,0.05194
2018-08-05,0.42613,0.2514,0.05534,0.05513
2018-08-06,0.43799,0.25682,0.06592,0.09425
2018-08-07,0.45325,0.28597,0.06341,0.10292
2018-08-08,5.54369,0.75796,0.12245,0.11727
2018-08-09,3.8428,0.49246,0.0941,0.12545
2018-08-10,0.76324,0.25361,0.06268,0.11199
2018-08-11,0.568,0.41555,0.08912,0.05285
2018-08-12,0.39387,0.23165,0.05191,0.05328
2018-08-13,0.5256,0.26601,0.06841,0.09774
2018-08-14,1.73633,1.54231,0.128,0.09455
2018-08-15,0.4601,0.24715,0.05173,0.0551
2018-08-16,0.4053,0.21179,0.05604,0.07857
2018-08-17,0.3908,0.19799,0.05431,0.08503
2018-08-18,0.30334,0.19256,0.04615,0.05131
2018-08-19,0.28518,0.16075,0.03654,0.05401
2018-08-20,0.37124,0.1993,0.05128,0.10344
2018-08-21,0.39311,0.22777,0.06019,0.10325
2018-08-22,0.49073,0.24576,0.06307,0.10668
2018-08-23,0.44767,0.22847,0.0537,0.09261
2018-08-24,1.09076,0.18656,0.04764,0.07818
2018-08-25,0.27484,0.12994,0.03545,0.05649
2018-08-26,0.27162,0.12994,0.03602,0.05558
2018-08-27,0.34495,0.1596,0.04576,0.09173
2018-08-28,0.39014,0.18738,0.05379,0.09458
2018-08-29,0.39323,0.20142,0.05352,0.08982
2018-08-30,0.33673,0.17446,0.05473,0.10259
2018-08-31,0.31238,0.14328,0.0463,0.09146
2018-09-01,0.23123,0.11153,0.03593,0.05058
2018-09-02,0.28976,0.13889,0.04006,0.05122
2018-09-03,0.35332,0.16048,0.05191,0.10031
2018-09-04,0.3542,0.17783,0.05109,0.11196
2018-09-05,0.56118,0.3465,0.07808,0.1051
2018-09-06,40.7014,0.72924,0.1129,0.20785
2018-09-07,0.62698,0.22092,0.06295,0.09507
2018-09-08,0.33185,0.13125,0.03863,0.0672
2018-09-09,0.46529,0.23211,0.06095,0.06429
2018-09-10,0.43836,0.19417,0.06071,0.1088
2018-09-11,0.38668,0.19229,0.05928,0.10938
2018-09-12,0.49285,0.31684,0.07821,0.11102
2018-09-13,0.37206,0.1774,0.06338,0.10886
2018-09-14,0.37543,0.17495,0.05998,0.10432
2018-09-15,0.27951,0.11851,0.04215,0.05989
2018-09-16,0.25534,0.11335,0.04109,0.75541
2018-09-17,0.33849,0.14744,0.05467,0.12312
2018-09-18,0.41046,0.21228,0.06413,0.11793
2018-09-19,0.31111,0.13877,0.04406,0.10353
2018-09-20,0.31381,0.13601,0.04861,0.10856
2018-09-21,0.54644,0.25337,0.06465,0.07896
2018-09-22,0.32597,0.16573,0.05225,0.04148
2018-09-23,0.23575,0.11308,0.03757,0.03487
2018-09-24,0.27247,0.11836,0.03587,0.0366
2018-09-25,0.30962,0.13971,0.04018,0.04166
2018-09-26,0.29937,0.11626,0.0379,0.05501
2018-09-27,0.38604,0.16306,0.05455,0.10659
2018-09-28,0.35963,0.15751,0.05419,0.08824
2018-09-29,0.25306,0.11053,0.03617,0.05206
2018-09-30,0.22893,0.11029,0.03481,0.05316
2018-10-01,0.30977,0.14559,0.04967,0.09555
2018-10-02,0.29055,0.12742,0.0477,0.09725
2018-10-03,0.23808,0.11678,0.04051,0.07269
2018-10-04,0.30644,0.13955,0.05816,0.1243
2018-10-05,0.29303,0.13491,0.04958,0.10817
2018-10-06,0.21507,0.0947,0.03909,0.06007
2018-10-07,0.19918,0.09892,0.03954,0.05777
2018-10-08,0.27854,0.12918,0.05243,0.10259
2018-10-09,0.2335,0.10471,0.04369,0.0836
2018-10-10,0.3374,0.14165,0.06074,0.13388
2018-10-11,1.99896,0.3196,0.10844,0.14289
2018-10-12,0.49749,0.18143,0.06204,0.10644
2018-10-13,0.24627,0.0991,0.0383,0.06517
2018-10-14,0.24651,0.09637,0.03954,0.06526
2018-10-15,2.51268,0.24509,0.07423,0.12721
2018-10-16,0.37931,0.1485,0.05737,0.11723
2018-10-17,0.31156,0.11733,0.05219,0.11341
2018-10-18,0.27511,0.11617,0.04615,0.11284
2018-10-19,0.27178,0.11451,0.0507,0.10647
2018-10-20,0.18359,0.08409,0.03378,0.06571
2018-10-21,0.18422,0.08451,0.03393,0.06641
2018-10-22,0.27566,0.11557,0.04439,0.12627
2018-10-23,0.29258,0.11796,0.04606,0.12027
2018-10-24,0.29655,0.10984,0.04415,0.11529
2018-10-25,0.33052,0.12112,0.04482,0.11105
2018-10-26,0.28867,0.10738,0.03884,0.10153
2018-10-27,0.19505,0.07354,0.03129,0.06204
2018-10-28,0.19969,0.08009,0.03354,0.06617
2018-10-29,0.42016,0.15608,0.0598,0.1132
2018-10-30,0.3986,0.16251,0.05883,0.13258
2018-10-31,0.30034,0.11393,0.04797,0.1146
2018-11-01,0.31535,0.11836,0.05216,0.10771
2018-11-02,0.26744,0.10432,0.04797,0.09549
2018-11-03,0.20809,0.08494,0.03357,0.06128
2018-11-04,0.19957,0.08063,0.03811,0.05974
2018-11-05,0.3804,0.14695,0.05771,0.10959
2018-11-06,0.34586,0.1529,0.05106,0.1055
2018-11-07,0.34052,0.14153,0.05646,0.0998
2018-11-08,0.33561,0.13146,0.04985,0.10374
2018-11-09,0.26259,0.10189,0.0416,0.09774
2018-11-10,0.20682,0.0793,0.04436,0.06456
