날짜,종가,등락률
2021.05.14,"1,837.90",0.77%
2021.05.13,"1,823.80",0.06%
2021.05.12,"1,822.60",-0.72%
2021.05.11,"1,835.90",-0.08%
2021.05.10,"1,837.50",0.34%
2021.05.07,"1,831.10",0.85%
2021.05.06,"1,815.50",1.76%
2021.05.05,"1,784.10",0.46%
2021.05.04,"1,775.80",-0.87%
2021.05.03,"1,791.40",1.36%
2021.04.30,"1,767.30",-0.04%
2021.04.29,"1,768.10",-0.30%
2021.04.28,"1,773.50",-0.26%
2021.04.27,"1,778.20",-0.06%
2021.04.26,"1,779.40",0.11%
2021.04.23,"1,777.30",-0.23%
2021.04.22,"1,781.50",-0.62%
2021.04.21,"1,792.70",0.84%
2021.04.20,"1,777.30",0.44%
2021.04.19,"1,769.40",-0.53%
2021.04.16,"1,779.00",0.77%
2021.04.15,"1,765.40",1.75%
2021.04.14,"1,734.90",-0.64%
2021.04.13,"1,746.20",0.86%
2021.04.12,"1,731.20",-0.69%
2021.04.09,"1,743.30",-0.76%
2021.04.08,"1,756.80",0.95%
2021.04.07,"1,740.10",-0.08%
2021.04.06,"1,741.50",0.83%
2021.04.05,"1,727.00",0.02%
2021.04.01,"1,726.50",0.74%
2021.03.31,"1,713.80",1.77%
2021.03.30,"1,683.90",-1.65%
2021.03.29,"1,712.20",-1.16%
2021.03.26,"1,732.30",0.41%
2021.03.25,"1,725.10",-0.46%
2021.03.24,"1,733.20",0.46%
2021.03.23,"1,725.10",-0.74%
2021.03.22,"1,738.10",-0.20%
2021.03.19,"1,741.40",0.53%
2021.03.18,"1,732.20",0.31%
2021.03.17,"1,726.80",-0.21%
2021.03.16,"1,730.60",0.09%
2021.03.15,"1,728.90",0.54%
2021.03.12,"1,719.50",-0.16%
2021.03.11,"1,722.30",0.04%
2021.03.10,"1,721.50",0.28%
2021.03.09,"1,716.60",2.31%
2021.03.08,"1,677.70",-1.19%
2021.03.05,"1,698.00",-0.12%
2021.03.04,"1,700.20",-0.88%
2021.03.03,"1,715.30",-1.02%
2021.03.02,"1,733.10",0.61%
2021.03.01,"1,722.50",-0.32%
2021.02.26,"1,728.10",-2.60%
2021.02.25,"1,774.40",-1.23%
2021.02.24,"1,796.60",-0.45%
2021.02.23,"1,804.80",-0.13%
2021.02.22,"1,807.20",1.73%
2021.02.19,"1,776.30",0.12%
2021.02.18,"1,774.00",0.12%
2021.02.17,"1,771.10",-1.45%
2021.02.16,"1,797.20",-1.33%
2021.02.12,"1,821.60",-0.18%
2021.02.11,"1,824.90",-0.85%
2021.02.10,"1,840.60",0.28%
2021.02.09,"1,835.30",0.18%
2021.02.08,"1,831.90",1.15%
2021.02.05,"1,810.90",1.22%
2021.02.04,"1,788.90",-2.36%
2021.02.03,"1,832.20",0.09%
2021.02.02,"1,830.50",-1.62%
2021.02.01,"1,860.80",0.73%
2021.01.29,"1,847.30",0.51%
2021.01.28,"1,837.90",-0.37%
2021.01.27,"1,844.90",-0.32%
2021.01.26,"1,850.90",-0.23%
2021.01.25,"1,855.20",-0.05%
2021.01.22,"1,856.20",-0.51%
2021.01.21,"1,865.90",-0.03%
2021.01.20,"1,866.50",1.42%
2021.01.19,"1,839.50",0.55%
2021.01.15,"1,829.30",-1.13%
2021.01.14,"1,850.30",-0.17%
2021.01.13,"1,853.60",0.58%
2021.01.12,"1,842.90",-0.36%
2021.01.11,"1,849.60",0.84%
2021.01.08,"1,834.10",-4.08%
2021.01.07,"1,912.30",0.28%
2021.01.06,"1,906.90",-2.34%
2021.01.05,"1,952.70",0.41%
2021.01.04,"1,944.70",2.72%
2020.12.31,"1,893.10",0.11%
2020.12.30,"1,891.00",0.55%
2020.12.29,"1,880.50",0.13%
2020.12.28,"1,877.90",-0.14%
2020.12.24,"1,880.70",0.27%
2020.12.23,"1,875.60",0.42%
2020.12.22,"1,867.70",-0.67%
2020.12.21,"1,879.20",-0.34%
2020.12.18,"1,885.70",-0.07%
2020.12.17,"1,887.20",1.67%
2020.12.16,"1,856.10",0.20%
2020.12.15,"1,852.30",1.29%
2020.12.14,"1,828.70",-0.60%
2020.12.11,"1,839.80",0.33%
2020.12.10,"1,833.60",-0.05%
2020.12.09,"1,834.60",-1.93%
2020.12.08,"1,870.80",0.48%
2020.12.07,"1,861.80",1.41%
2020.12.04,"1,835.90",-0.04%
2020.12.03,"1,836.80",0.60%
2020.12.02,"1,825.70",0.63%
2020.12.01,"1,814.10",2.16%
2020.11.30,"1,775.70",-0.34%
2020.11.27,"1,781.90",-1.30%
2020.11.25,"1,805.50",0.04%
2020.11.24,"1,804.60",-1.80%
2020.11.23,"1,837.80",-1.84%
2020.11.20,"1,872.40",0.58%
2020.11.19,"1,861.50",-0.66%
2020.11.18,"1,873.90",-0.59%
2020.11.17,"1,884.50",-0.14%
2020.11.16,"1,887.30",0.08%
2020.11.13,"1,885.70",0.69%
2020.11.12,"1,872.60",0.63%
2020.11.11,"1,860.70",-0.78%
2020.11.10,"1,875.40",1.19%
2020.11.09,"1,853.20",-4.97%
2020.11.06,"1,950.30",0.25%
2020.11.05,"1,945.30",2.67%
2020.11.04,"1,894.60",-0.72%
2020.11.03,"1,908.50",0.95%
2020.11.02,"1,890.40",0.69%
2020.10.30,"1,877.40",0.63%
2020.10.29,"1,865.60",-0.58%
2020.10.28,"1,876.50",-1.71%
2020.10.27,"1,909.20",0.32%
2020.10.26,"1,903.10",0.04%
2020.10.23,"1,902.30",0.03%
2020.10.22,"1,901.60",-1.25%
2020.10.21,"1,924.60",0.74%
2020.10.20,"1,910.40",0.20%
2020.10.19,"1,906.40",0.29%
2020.10.16,"1,900.80",-0.12%
2020.10.15,"1,903.20",0.09%
2020.10.14,"1,901.30",0.67%
2020.10.13,"1,888.50",-1.76%
2020.10.12,"1,922.50",0.15%
2020.10.09,"1,919.50",1.63%
2020.10.08,"1,888.60",0.26%
2020.10.07,"1,883.60",-0.92%
2020.10.06,"1,901.10",-0.59%
2020.10.05,"1,912.50",0.64%
2020.10.02,"1,900.20",-0.42%
2020.10.01,"1,908.40",1.10%
2020.09.30,"1,887.50",-0.35%
2020.09.29,"1,894.30",1.14%
2020.09.28,"1,872.80",0.80%
2020.09.25,"1,857.80",-0.59%
2020.09.24,"1,868.90",0.45%
2020.09.23,"1,860.50",-2.04%
2020.09.22,"1,899.30",-0.14%
2020.09.21,"1,902.10",-2.61%
2020.09.18,"1,952.10",0.62%
2020.09.17,"1,940.00",-1.03%
2020.09.16,"1,960.20",0.19%
2020.09.15,"1,956.30",0.16%
2020.09.14,"1,953.10",0.78%
2020.09.11,"1,937.80",-0.83%
2020.09.10,"1,954.20",0.48%
2020.09.09,"1,944.70",0.60%
