날짜,종가,등락률
2021.05.14,66.33,1.39%
2021.05.13,65.42,-2.02%
2021.05.12,66.77,0.67%
2021.05.11,66.32,0.18%
2021.05.10,66.2,0.08%
2021.05.07,66.15,0.20%
2021.05.06,66.01,-0.97%
2021.05.05,66.66,0.46%
2021.05.04,66.35,2.03%
2021.05.03,65.03,1.17%
2021.04.30,64.27,-2.27%
2021.04.29,65.77,1.90%
2021.04.28,64.54,1.59%
2021.04.27,63.53,1.45%
2021.04.26,62.61,-0.79%
2021.04.23,62.8,0.19%
2021.04.22,62.68,-0.05%
2021.04.21,62.71,-0.81%
2021.04.20,63.23,-0.38%
2021.04.19,63.48,0.09%
2021.04.16,63.41,-0.09%
2021.04.15,63.48,0.33%
2021.04.14,63.26,2.81%
2021.04.13,61.53,0.37%
2021.04.12,61.3,0.18%
2021.04.09,61.19,-0.45%
2021.04.08,61.47,0.01%
2021.04.07,61.46,0.81%
2021.04.06,60.96,0.41%
2021.04.05,60.71,-4.04%
2021.04.01,63.27,3.46%
2021.03.31,61.15,-2.38%
2021.03.30,62.65,-1.16%
2021.03.29,63.39,0.73%
2021.03.26,62.93,4.57%
2021.03.25,60.18,-3.93%
2021.03.24,62.64,5.31%
2021.03.23,63.72,-1.52%
2021.03.22,64.71,0.21%
2021.03.19,64.57,1.04%
2021.03.18,63.9,-2.84%
2021.03.17,65.77,-0.42%
2021.03.16,66.05,-0.48%
2021.03.15,66.38,-0.19%
2021.03.12,66.5,-0.22%
2021.03.11,66.65,1.69%
2021.03.10,65.54,0.25%
2021.03.09,65.37,-0.70%
2021.03.08,65.84,-1.58%
2021.03.05,66.89,3.22%
2021.03.04,64.8,3.59%
2021.03.03,62.55,1.99%
2021.03.02,61.33,-1.52%
2021.03.01,62.28,-1.05%
2021.02.26,62.95,-2.53%
2021.02.25,64.58,-0.03%
2021.02.24,64.61,3.00%
2021.02.23,62.72,0.10%
2021.02.22,62.66,3.22%
2021.02.19,60.2,-0.65%
2021.02.18,60.59,-0.48%
2021.02.17,60.89,0.48%
2021.02.16,60.6,0.61%
2021.02.12,60.23,1.12%
2021.02.11,59.55,-0.22%
2021.02.10,59.69,0.10%
2021.02.09,59.63,0.45%
2021.02.08,59.36,1.65%
2021.02.05,58.4,0.74%
2021.02.04,57.97,0.47%
2021.02.03,57.69,1.73%
2021.02.02,56.71,1.88%
2021.02.01,55.66,2.42%
2021.01.29,54.34,-0.20%
2021.01.28,54.45,-0.89%
2021.01.27,54.94,-0.24%
2021.01.26,55.08,-0.20%
2021.01.25,55.19,0.80%
2021.01.22,54.76,-0.35%
2021.01.21,54.95,-0.02%
2021.01.20,54.97,0.13%
2021.01.19,54.89,0.65%
2021.01.15,54.53,-1.15%
2021.01.14,55.17,0.37%
2021.01.13,54.96,-0.72%
2021.01.12,55.37,1.07%
2021.01.11,54.78,-0.51%
2021.01.08,55.06,2.37%
2021.01.07,53.78,0.28%
2021.01.06,53.63,1.50%
2021.01.05,52.84,4.40%
2021.01.04,50.61,-1.07%
2020.12.31,51.16,0.35%
2020.12.30,50.98,0.82%
2020.12.29,50.56,0.41%
2020.12.28,50.35,-0.86%
2020.12.24,50.79,0.18%
2020.12.23,49.81,0.48%
2020.12.22,49.57,-0.57%
2020.12.21,49.86,-0.95%
2020.12.18,50.34,0.53%
2020.12.17,50.08,0.23%
2020.12.16,49.96,0.29%
2020.12.15,49.81,0.71%
2020.12.14,49.46,0.48%
2020.12.11,49.22,-0.13%
2020.12.10,49.29,1.80%
2020.12.09,48.42,0.27%
2020.12.08,48.28,0.11%
2020.12.07,48.23,-0.25%
2020.12.04,48.35,0.65%
2020.12.03,48.04,0.77%
2020.12.02,47.67,1.50%
2020.12.01,46.96,-0.69%
2020.11.30,47.29,-0.86%
2020.11.27,47.7,-0.37%
2020.11.25,47.88,1.57%
2020.11.24,47.14,3.79%
2020.11.23,45.42,1.81%
2020.11.20,42.84,0.56%
2020.11.19,42.6,-0.21%
2020.11.18,42.69,0.47%
2020.11.17,42.49,-0.08%
2020.11.16,42.52,1.55%
2020.11.13,41.87,-1.17%
2020.11.12,42.37,0.02%
2020.11.11,42.36,0.39%
2020.11.10,42.19,1.90%
2020.11.09,41.41,5.39%
2020.11.06,39.28,-2.13%
2020.11.05,40.14,-0.99%
2020.11.04,40.55,3.53%
2020.11.03,39.16,2.10%
2020.11.02,38.36,2.90%
2020.10.30,37.27,-0.71%
2020.10.29,37.54,-3.54%
2020.10.28,38.92,-4.61%
2020.10.27,40.8,1.92%
2020.10.26,40.03,-2.83%
2020.10.23,41.14,-0.39%
2020.10.22,41.31,0.58%
2020.10.21,41.07,-1.25%
2020.10.20,41.59,0.52%
