날짜,제목
21.04.29,아까 100억인증한 형이다
21.04.29,■■50만씩 20명 구제간다 빨리 댓글달아라
21.04.29,어제 자살한애... 너무 슬프다..
21.04.28,오늘자 홍준표 비트코인 발언
21.04.28,빗갤 애미없는 삼형제.jpg
21.04.28,팩트) 2030 취업 안 되는건 그냥 인생 패배자들 한탄임.
21.04.27,300억 벌고 졸업하면서 구제 간다
21.04.27,주식 달달하게 먹었다 구제간다.jpg
21.04.26,햄이다 10명 구제 간다 ㄱㄱ
21.04.25,20대로서 20대 친구들한테 묻고싶은거
21.04.25,솔직히 자기가 사는 코인 무슨 용도로 쓰는지 모르겠다 ㅇㅈ?
21.04.24,수익률 -100000% 못찍었으면 징징거리지좀 마라
21.04.24,중국 투기세력들 배불려주는 한국 코인시장
21.04.24,형들 숏치자마자 갑자기 문자가하나왔는데 이거대체 뭔가요?
21.04.24,"??? : 아빠, 아빠는 왜 그때 코인 안했어?"
21.04.24,지금사면 최소200%
21.04.23,2차구제갑니다 개추 댓글 ㄱ
21.04.23,선착순 30명 100만원 구제해준다
21.04.23,50만원 10명구제간다 계좌적어라
21.04.23,선착순 20명 5만원씩 구원해준다. 개추박고 숫자적어라
21.04.23,130BTC 보유 고래인데 구제해줄게
21.04.23,현금화했다 구제 들어간다
21.04.23,내가 업비트쓰는사람중에서 현금 최다보유자다. 구제들어간다.
21.04.23,30명 20만원씩 구제간다 ..jpg
21.04.23,나 결혼 파탄나게 생겼다
21.04.23,어제 구제해준 형이다 오늘도 10명 구제간다
21.04.23,20명 구제해줬는데 니들 구제 받기 실나??10명만 더 간다ㄱㄱ
21.04.23,도지 숏쳐서 2억 먹었는데 너네들 돈이라서 좀 뿌리고 간다
21.04.23,10만원씩 200명 크게 쏜다
21.04.23,7차 구조 들어갑니다 간절한분만 받을게요 추천
21.04.23,3명 300 4시까지
21.04.23,구제+념글 안보내? 보내야준다 20명 50씩
21.04.23,시즌종료기념 전원구제 목표로 구제갑니다~!!
21.04.23,긴말안한다 구제간다
21.04.23,하락장이라 힘든새끼들만 계좌적어라
21.04.23,출금기념 구제할게 댓글달아봐 추천이랑
21.04.23,찐막구제간다 10명
21.04.23,개념가면 50만원 10명 구제간다
21.04.23,구제받기 싫냐? 랜덤 100씩으로 올린다
21.04.23,구제
21.04.23,형 또왔다 30명 선착 50씩 구제간다
21.04.23,마지막 구제 받아라. 50씩 10명 선택
21.04.23,진짜 마지막 구제다. 힐 받아라
21.04.23,코인때메 다들 애먹는다 20명만 구제 간다 ㄱㄱ
21.04.23,개빡친다 씨팔 -70퍼찍혓다
21.04.23,■■50만씩 20명 구제간다 빨리 댓글달아라
21.04.23,이 시각 재평가 돼야 할 사람...TXT
21.04.23,이혼하잖다 마누라가..
21.04.23,27.131이다 구제간다 념글ㄱㄱ ■인증■
21.04.22,☆100억좌 찐구제☆☆ 주식으로 크게벌어서 왔다 개념ㄱ
21.04.22,???: 아빠! 아빠는 왜 코인 안했었어?
21.04.22,구제)형왔다 어제받은애들 신청하지말고 선착순20명5만원보냄
21.04.21,구제+ 긴말안하고 댓글쓴사람 모두구제감
21.04.21,이거 간다고 햇지 2일전에?
21.04.21,잃은 사람 구제해준다 ㄱㄱ10명정도
21.04.21,선착순 50명 50만원씩 구제 들어감.jpg
21.04.21,리플형이다. 구제 또 하러 왔다.
21.04.21,구제+ 긴말안함 댓글단사람 전부 구제갑니다.
21.04.21,6차@@구조 시작하겠습니다!!! 5차 반응이 좋아서 6차도 시작합니다
21.04.21,코인 졸업 기념 점심 구제 이벤트
21.04.21,구제+ 비트코인 졸업합니다
21.04.21,구제+ 비트코인 졸업하려고합니다.
21.04.21,2차 구제 4시까지 20명 50만원씩
21.04.21,구제+ 도지사신분들만 구제갑니다
21.04.21,구제+ 비트코인 졸업하려고합니다.
21.04.21,바낸 도지 완벽분석함 ㅇㅇ
21.04.21,(인증)☆5차구조 완료 6차 구제갑니다
21.04.21,[인증] 4차 전원 구제완료! 5차 시작합니다!! [13]
21.04.21,"39억 인증 및 졸업 나름 기부,,? ㅎㅎ"
21.04.21,나 도지 몰빵충인데 나 한심하면 개추좀ㅋㅋㅋ
21.04.20,(인증) 쿨하게 백만원씩 구제간다 이기야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
21.04.20,■■ 소소하게 5억 인증 / 백만원씩 선착순 20명 구제 ■■
21.04.20,★ 인증글들 봤지? 2차 구제 1억 / 선착 50명 추첨 ★
21.04.20,아로와나형이다 19차 구제간다 선착순이다
21.04.20,도지로77억범 선착순 77명 77만원 구제(인증첨부)
21.04.20,도지로 57억 벌었다 100만원 10명 구제하고 코인뜬다
21.04.20,ㅅㅂ 구제하다 출금한도로 막힘 지갑주소 말해라
21.04.20,(3차 구제 시작) 선착순 70명 살려준다
