날짜,내용
2021-05-14,Working with Doge devs to improve system transaction efficiency. Potentially promising.
2021-05-14,"To be clear, I strongly believe in crypto, but it can’t drive a massive increase in fossil fuel use, especially coal"
2021-05-13,Tesla & Bitcoin
2021-05-11,Do you want Tesla to accept Doge?
2021-05-11,SNL Monologue
2021-05-11,nbcsnl
2021-05-10,SpaceX launching satellite Doge-1 to the moon next year
2021-05-09,Special link to view SNL outside USA
2021-05-08,Guest starring …
2021-05-07,ELON MUSK. MILEY CYRUS. THIS SATURDAY
2021-05-07,"Cryptocurrency is promising, but please invest with caution!"
2021-04-28,The Dogefather
2021-04-15,Doge Barking at the Moon
2021-04-02,"""SpaceX is going to put a literal Dogecoin on the literal moon."""
2021-03-25,Don’t defy DeFi
2021-03-24,Pay by Bitcoin capability available outside US later this year
2021-03-24,You can now buy a Tesla with Bitcoin
2021-03-24,"Tesla is using only internal & open source software & operates Bitcoin nodes directly. Bitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency."
2021-03-16,I’m selling this song about NFTs as an NFT
2021-03-14,"Why are you so dogematic, they ask"
2021-03-14,"Origin of Doge Day Afternoon: The ancient Romans sacrificed a Dogecoin at the beginning of the Doge Days to appease the rage of Sirius, believing that the star was the cause of the hot, sultry weather."
2021-03-14,Doge day afternoon
2021-03-13,Both do mining & use blocks & chains
2021-03-13,BTC (Bitcoin) is an anagram of TBC(The Boring Company) What a coincidence!
2021-03-06,Doge spelled backwards is Egod
2021-03-03,"Scammers & crypto should get a room."""
2021-02-24,Literally
2021-02-22,Dojo 4 Doge
2021-02-21,Cryptocurrency explained
2021-02-21,Heard a rumor some crypto coin was pegging the dollar 
2021-02-15,"If major Dogecoin holders sell most of their coins, it will get my full support. Too much concentration is the only real issue imo."
2021-02-11,"Frodo was the underdoge, All thought he would fail, Himself most of all."
2021-02-11,"Bought some Dogecoin for lil X, so he can be a toddler hodler"
2021-02-08,Who let the Doge out 
2021-02-08,The people have spoken …
2021-02-06,The future currency of Earth
2021-02-04,Dogecoin is the people’s crypto
2021-02-04,ur welcome
2021-02-04,Doge
2021-01-30,"In retrospect, it was inevitable."""
2020-12-26,Merry Christmas & happy holidays! - 사진
2020-12-20,Bitcoin is almost as bs as fiat money
2020-12-20,One word: Doge
2020-12-20,비트코인 사진
2020-12-20,“Lord” Edge
2020-12-20,Bitcoin is my safe word
2020-07-18,It’s inevitable
2020-07-03,", ""I'm not building anything on ethereum. Not for or against it, just don't use it or own any."""
2020-04-25,"?""Dogecoin Mode… """
2020-03-03,"They have the best coin"""
2019-05-16,"""... massive currency issuance by govt central banks is making Bitcoin Internet money look solid by comparison,"" and, ""I still only own 0.25 Bitcoins btw."""
2020-04-30,"""Ethereum,"" and, ""jk."""
2020-04-03,Dogecoin rulz
2020-04-03,Dogecoin value may vary
2020-04-02,Dogecoin might be my fav cryptocurrency. It’s pretty cool.
2020-01-09,"""Bitcoin""?"
2018-10-23,Wanna buy some Bitcoin? 
