날짜,종가,등락률,거래량
2021-04-30,128000,-1.54,3955947
2021-04-29,130000,0,3738266
2021-04-28,130000,-3.7,5596760
2021-04-27,135000,2.66,3394650
2021-04-26,131500,-0.75,2904879
2021-04-23,132500,-0.38,4854412
2021-04-22,133000,0.38,3007457
2021-04-21,132500,-4.33,5120577
2021-04-20,138500,0.36,2167732
2021-04-19,138000,0.36,1906782
2021-04-16,137500,0,1982877
2021-04-15,137500,0.36,2291160
2021-04-14,137000,-1.79,2777203
2021-04-13,139500,1.45,2876178
2021-04-12,137500,-1.79,3878457
2021-04-09,140000,-2.78,3276077
2021-04-08,144000,0.35,3774932
2021-04-07,143500,0.35,2424687
2021-04-06,143000,0,3753217
2021-04-05,143000,1.42,2616440
2021-04-02,141000,0.36,3432245
2021-04-01,140500,6.04,5833436
2021-03-31,132500,-1.49,3309680
2021-03-30,134500,1.89,3304184
2021-03-29,132000,-2.22,3575226
2021-03-26,135000,1.5,3835443
2021-03-25,133000,-0.37,4157799
2021-03-24,133500,-1.11,3894080
2021-03-23,135000,-2.17,3839090
2021-03-22,138000,0,2727719
2021-03-19,138000,-2.82,4015627
2021-03-18,142000,1.43,4426840
2021-03-17,140000,-0.36,2588319
2021-03-16,140500,2.93,3304561
2021-03-15,136500,-2.5,4289990
2021-03-12,140000,2.19,4548695
2021-03-11,137000,3.01,6707671
2021-03-10,133000,-2.56,5614476
2021-03-09,136500,0.74,7822152
2021-03-08,135500,-3.21,5587787
2021-03-05,140000,-1.41,6091444
2021-03-04,142000,-3.4,6586562
2021-03-03,147000,1.73,5827221
2021-03-02,144500,2.12,9376523
2021-02-26,141500,-4.71,10843268
2021-02-25,148500,9.19,9936495
2021-02-24,136000,-1.81,9074809
2021-02-23,138500,1.47,6400037
2021-02-22,136500,2.63,7961516
2021-02-19,133000,5.56,6986526
2021-02-18,126000,-3.08,3792425
2021-02-17,130000,-1.89,3621178
2021-02-16,132500,0.38,3218689
2021-02-15,132000,4.76,5384526
2021-02-10,126000,0.4,4262526
2021-02-09,125500,0.4,5177095
2021-02-08,125000,-1.96,2876471
2021-02-05,127500,2,3497303
2021-02-04,125000,-3.85,4600618
2021-02-03,130000,0,3693688
2021-02-02,130000,4,4880067
2021-02-01,125000,2.04,5620305
2021-01-29,122500,-0.41,7391307
2021-01-28,123000,-4.28,6270829
2021-01-27,128500,-0.39,5068456
2021-01-26,129000,-4.44,6270106
2021-01-25,135000,5.06,5061864
2021-01-22,128500,-2.28,3927767
2021-01-21,131500,0.77,3067677
2021-01-20,130500,0,4913282
2021-01-19,130500,0.38,4513315
2021-01-18,130000,1.96,5927419
2021-01-15,127500,-2.3,4838114
2021-01-14,130500,-1.88,5380278
2021-01-13,133000,3.1,6791044
2021-01-12,129000,-3.01,8700877
2021-01-11,133000,-3.62,11154671
2021-01-08,138000,2.6,8713010
2021-01-07,134500,2.67,5981299
2021-01-06,131000,0.38,8525749
2021-01-05,130500,3.57,7180224
2021-01-04,126000,6.33,7995016
2020-12-30,118500,2.16,4195192
2020-12-29,116000,0.43,4208916
2020-12-28,115500,-2.12,4825132
2020-12-24,118000,1.72,3486636
2020-12-23,116000,3.11,3173156
2020-12-22,112500,-3.02,4270842
2020-12-21,116000,-2.11,3585805
2020-12-18,118500,-0.84,3010798
2020-12-17,119500,1.7,3649945
2020-12-16,117500,0,2213552
2020-12-15,117500,0.43,2755902
2020-12-14,117000,1.3,3066761
2020-12-11,115500,-0.86,3944552
2020-12-10,116500,-3.32,8205744
2020-12-09,120500,4.78,5490760
2020-12-08,115000,-2.54,4536460
2020-12-07,118000,2.61,5191354
2020-12-04,115000,3.14,8258814
2020-12-03,111500,2.29,6617912
2020-12-02,109000,8.46,7488361
2020-12-01,100500,3.08,4455519
2020-11-30,97500,-1.32,3877841
2020-11-27,98800,-0.6,1976047
2020-11-26,99400,2.26,2933290
2020-11-25,97200,-1.42,4081524
2020-11-24,98600,-1.4,3766043
2020-11-23,100000,3.31,4149013
2020-11-20,96800,-1.43,2424003
2020-11-19,98200,0.2,2766688
2020-11-18,98000,-0.1,3734037
2020-11-17,98100,0.1,5218295
2020-11-16,98000,9.25,9274278
2020-11-13,89700,1.82,3774278
2020-11-12,88100,1.26,4006433
2020-11-11,87000,0.58,2638617
2020-11-10,86500,0.58,2849783
2020-11-09,86000,-0.35,2444330
2020-11-06,86300,0.23,2863808
2020-11-05,86100,3.49,4082325
2020-11-04,83200,2.21,3782296
2020-11-03,81400,2.26,2057723
2020-11-02,79600,-0.38,2000394
2020-10-30,79900,-2.2,2710477
2020-10-29,81700,-1.45,2637314
2020-10-28,82900,0.36,1773556
2020-10-27,82600,-0.72,2265817
2020-10-26,83200,-0.83,1662847
2020-10-23,83900,0.72,2609595
2020-10-22,83300,-0.6,2593975
2020-10-21,83800,-1.64,4925877
2020-10-20,85200,-1.73,6622637
2020-10-19,86700,1.64,3150011
2020-10-16,85300,-2.07,2435541
2020-10-15,87100,0.69,2802900
2020-10-14,86500,-1.93,3223767
2020-10-13,88200,3.16,6375448
2020-10-12,85500,3.14,4464264
2020-10-08,82900,-0.6,3330824
2020-10-07,83400,0.48,2254356
2020-10-06,83000,-0.24,2750145
2020-10-05,83200,-0.95,3396894
2020-09-29,84000,1.82,4707898
2020-09-28,82500,-0.48,3154068
2020-09-25,82900,-1.66,3205596
2020-09-24,84300,0.84,6401560
2020-09-23,83600,2.83,4439085
2020-09-22,81300,-3.79,4139983
2020-09-21,84500,0.96,4102947
2020-09-18,83700,1.82,5199334
2020-09-17,82200,0.86,4055050
2020-09-16,81500,-0.49,3119110
2020-09-15,81900,2.38,5899410
2020-09-14,80000,2.04,4099644
2020-09-11,78400,2.35,2831262
2020-09-10,76600,-0.91,3541520
2020-09-09,77300,-2.64,3918435
2020-09-08,79400,1.28,3380355
2020-09-07,78400,-0.38,2786930
2020-09-04,78700,0,4582566
2020-09-03,78700,4.24,7002529
2020-09-02,75500,0.4,2369360
2020-09-01,75200,0.13,2538676
2020-08-31,75100,-3.47,5113128
2020-08-28,77800,-1.64,2511956
2020-08-27,79100,0.38,4223450
2020-08-26,78800,2.34,4741965
2020-08-25,77000,1.99,3473488
2020-08-24,75500,1.34,4298619
2020-08-21,74500,3.76,7700029
2020-08-20,71800,-4.27,7260223
2020-08-19,75000,-3.97,8028305
2020-08-18,78100,-2.62,4946279
2020-08-14,80200,-0.62,2589552
2020-08-13,80700,-0.37,4049387
2020-08-12,81000,-0.37,3595828
2020-08-11,81300,-0.12,3234013
2020-08-10,81400,0.99,3277238
2020-08-07,80600,-0.62,4946631
2020-08-06,81100,0.5,3391939
2020-08-05,80700,-1.1,4537005
2020-08-04,81600,-0.24,3005937
2020-08-03,81800,-1.21,3483106
2020-07-31,82800,-2.93,4848989
2020-07-30,85300,2.52,6870841
2020-07-29,83200,0.12,3719681
2020-07-28,83100,0.36,4538720
2020-07-27,82800,-1.08,2784652
2020-07-24,83700,1.58,3667416
2020-07-23,82400,-0.96,3591647
2020-07-22,83200,-1.07,2876295
2020-07-21,84100,2.31,4181015
2020-07-20,82200,-0.84,2008624
2020-07-17,82900,0.24,1579078
2020-07-16,82700,-0.36,2312310
2020-07-15,83000,0.12,3024429
2020-07-14,82900,-0.12,2048671
2020-07-13,83000,0.24,2080934
2020-07-10,82800,-0.24,2201557
2020-07-09,83000,-0.84,4002365
2020-07-08,83700,-1.3,3523620
2020-07-07,84800,-1.4,3196352
2020-07-06,86000,0.7,2561766
2020-07-03,85400,1.18,2195897
2020-07-02,84400,-1.06,3295340
2020-07-01,85300,0.24,2382552
2020-06-30,85100,1.79,4983607
2020-06-29,83600,-1.18,2932433
2020-06-26,84600,0.36,2889494
2020-06-25,84300,-1.98,3397112
2020-06-24,86000,2.26,4079834
2020-06-23,84100,-0.94,2955819
2020-06-22,84900,-0.59,2167216
2020-06-19,85400,-0.93,3216102
2020-06-18,86200,-0.69,2484147
2020-06-17,86800,1.64,4160612
2020-06-16,85400,4.15,3518785
2020-06-15,82000,-3.76,4710114
2020-06-12,85200,-3.73,4742329
2020-06-11,88500,-2.53,5467344
2020-06-10,90800,1.11,3045250
2020-06-09,89800,-1.32,3410081
2020-06-08,91000,0.66,3789382
2020-06-05,90400,3.08,4000557
2020-06-04,87700,-1.13,6678244
2020-06-03,88700,6.48,11642239
2020-06-02,83300,-0.36,3114162
2020-06-01,83600,2.58,4205357
2020-05-29,81500,-2.86,6815185
2020-05-28,83900,3.07,9227823
2020-05-27,81400,-0.61,2946278
2020-05-26,81900,0.61,3040122
2020-05-25,81400,0.12,2850294
2020-05-22,81300,-2.52,3471700
2020-05-21,83400,-0.83,2678953
2020-05-20,84100,1.69,3924403
2020-05-19,82700,1.97,4620614
2020-05-18,81100,-0.98,5294177
2020-05-15,81900,1.61,4168866
2020-05-14,80600,-3.59,6409652
2020-05-13,83600,-2.45,5371416
2020-05-12,85700,1.42,3574409
2020-05-11,84500,-0.59,2800047
2020-05-08,85000,3.16,5039635
2020-05-07,82400,0,2660512
2020-05-06,82400,1.73,3351424
2020-05-04,81000,-3.23,5280026
2020-04-29,83700,0.36,3750568
2020-04-28,83400,0.97,3205535
2020-04-27,82600,1.47,3235430
2020-04-24,81400,-1.45,3193144
2020-04-23,82600,-1.55,6519481
2020-04-22,83900,3.2,5335787
2020-04-21,81300,-0.85,5090721
2020-04-20,82000,-2.5,5027876
2020-04-17,84100,3.44,6205624
2020-04-16,81300,-1.22,4470072
2020-04-14,82300,1.11,3344109
2020-04-13,81400,-3.21,3615318
2020-04-10,84100,-1.06,3675338
2020-04-09,85000,0.59,3555538
2020-04-08,84500,-1.52,3749575
2020-04-07,85800,3.25,6188649
2020-04-06,83100,4.4,5784159
2020-04-03,79600,-0.5,3755301
2020-04-02,80000,2.04,5394371
2020-04-01,78400,-5.88,6845675
2020-03-31,83300,-0.48,5333479
2020-03-30,83700,0.48,5270037
2020-03-27,83300,3.22,8085695
2020-03-26,80700,-4.5,7895289
2020-03-25,84500,7.37,8787217
2020-03-24,78700,13.4,7247345
2020-03-23,69400,-7.22,8192363
2020-03-20,74800,8.41,8750101
2020-03-19,69000,-5.61,11140367
2020-03-18,73100,-9.08,7949482
2020-03-17,80400,-0.25,7107436
2020-03-16,80600,-2.3,5097762
2020-03-13,82500,-0.36,8160758
2020-03-12,82800,-3.16,8191818
2020-03-11,85500,-4.04,5226251
2020-03-10,89100,2.53,6579153
2020-03-09,86900,-6.16,6196552
2020-03-06,92600,-2.42,3281612
2020-03-05,94900,0.64,4028776
2020-03-04,94300,1.62,4984561
2020-03-03,92800,0.76,5573006
2020-03-02,92100,4.78,6382279
2020-02-28,87900,-5.28,8171939
2020-02-27,92800,-1.9,4644449
2020-02-26,94600,-3.47,6405409
2020-02-25,98000,-1.51,6594059
2020-02-24,99500,-3.4,5550758
2020-02-21,103000,-0.96,4064719
2020-02-20,104000,0.48,3093782
2020-02-19,103500,1.47,2315634
2020-02-18,102000,-2.86,2789667
2020-02-17,105000,0.48,1190162
2020-02-14,104500,2.45,1893163
2020-02-13,102000,2,3519491
2020-02-12,100000,0.2,2616573
2020-02-11,99800,1.01,1820578
2020-02-10,98800,-0.5,1825648
2020-02-07,99300,-1.19,1827393
2020-02-06,100500,2.87,2861441
2020-02-05,97700,0.62,2911995
2020-02-04,97100,2.53,3169743
2020-02-03,94700,1.28,3725535
2020-01-31,93500,-0.53,4597139
2020-01-30,94000,-3.98,3223436
2020-01-29,97900,1.66,2741459
2020-01-28,96300,-2.43,3630362
2020-01-23,98700,-2.28,2780104
2020-01-22,101000,1.71,2257478
2020-01-21,99300,-0.6,1483291
2020-01-20,99900,0.91,1781639
2020-01-17,99000,-0.2,2246394
2020-01-16,99200,1.02,2824804
2020-01-15,98200,-2.29,2745625
2020-01-14,100500,0,2913343
2020-01-13,100500,1.62,2242008
2020-01-10,98900,-0.1,2867925
2020-01-09,99000,1.64,3586413
2020-01-08,97400,3.62,7014748
2020-01-07,94000,-0.32,2489429
2020-01-06,94300,-0.21,2577573
2020-01-03,94500,-0.21,3021380
2020-01-02,94700,0.64,2342070
2019-12-30,94100,-1.98,1862634
2019-12-27,96000,1.27,2229470
2019-12-26,94800,1.07,1559839
2019-12-24,93800,-0.85,1464093
2019-12-23,94600,-0.42,1720279
2019-12-20,95000,1.5,2791176
2019-12-19,93600,0.65,4938375
2019-12-18,93000,0.22,3434310
2019-12-17,92800,4.74,5070618
2019-12-16,88600,0.8,2652685
2019-12-13,87900,5.4,5831965
2019-12-12,83400,3.47,5247299
2019-12-11,80600,-0.12,2009331
2019-12-10,80700,0,1831960
2019-12-09,80700,0.12,2290088
2019-12-06,80600,2.28,3054204
2019-12-05,78800,1.42,3667358
2019-12-04,77700,-1.27,6164549
2019-12-03,78700,-2.24,11657151
2019-12-02,80500,-0.49,1945991
2019-11-29,80900,-2.29,2139440
2019-11-28,82800,0.12,1413983
2019-11-27,82700,0.49,1326621
2019-11-26,82300,0.73,4521090
2019-11-25,81700,0,2602474
2019-11-22,81700,0.99,2089767
2019-11-21,80900,-2.18,3346746
2019-11-20,82700,-3.05,3315169
2019-11-19,85300,-0.23,2260299
2019-11-18,85500,0.35,1827506
2019-11-15,85200,2.16,2394138
2019-11-14,83400,0,1517137
2019-11-13,83400,0.24,1370289
2019-11-12,83200,2.34,1555211
2019-11-11,81300,-1.22,2174477
2019-11-08,82300,-1.56,2074339
2019-11-07,83600,0.12,1594558
2019-11-06,83500,-1.88,2127745
2019-11-05,85100,0.47,1953720
2019-11-04,84700,1.93,2182879
2019-11-01,83100,1.34,1848046
2019-10-31,82000,0.61,1978755
2019-10-30,81500,-1.81,1927042
2019-10-29,83000,0.12,1645070
2019-10-28,82900,0,1977758
2019-10-25,82900,3.63,4229200
2019-10-24,80000,2.96,3076100
2019-10-23,77700,-1.77,5373911
2019-10-22,79100,2.06,3453958
2019-10-21,77500,0.13,2096581
2019-10-18,77400,-4.44,13625664
2019-10-17,81000,-1.7,1713942
2019-10-16,82400,1.48,2436269
2019-10-15,81200,0.87,1518810
2019-10-14,80500,0.63,1972409
2019-10-11,80000,1.27,2186536
2019-10-10,79000,-2.35,4389324
2019-10-08,80900,0.75,1816880
2019-10-07,80300,0,1229105
2019-10-04,80300,1.01,2430603
2019-10-02,79500,-3.05,2188097
2019-10-01,82000,-0.24,2370210
2019-09-30,82200,0.98,2442478
2019-09-27,81400,-2.28,2625620
2019-09-26,83300,1.71,1734941
2019-09-25,81900,-1.8,1644881
2019-09-24,83400,0.72,1662830
2019-09-23,82800,0.73,1413663
2019-09-20,82200,-0.6,2447172
2019-09-19,82700,3.12,3612220
2019-09-18,80200,1.01,2706678
2019-09-17,79400,-0.13,2538780
2019-09-16,79500,-3.75,5174391
2019-09-11,82600,-0.6,3650902
2019-09-10,83100,-1.42,1761883
2019-09-09,84300,2.93,2642174
2019-09-06,81900,-1.33,2418057
2019-09-05,83000,3.75,4068631
2019-09-04,80000,3.9,2723541
2019-09-03,77000,-0.77,1611563
2019-09-02,77600,0.26,1431352
2019-08-30,77400,5.59,3839246
2019-08-29,73300,0,2050860
2019-08-28,73300,0.41,1380522
2019-08-27,73000,1.67,2512610
2019-08-26,71800,-3.49,2645491
2019-08-23,74400,0.81,1695532
2019-08-22,73800,-2.64,2309550
2019-08-21,75800,-0.79,1898789
2019-08-20,76400,1.73,1694275
2019-08-19,75100,-1.7,1591728
2019-08-16,76400,-0.65,2015785
2019-08-14,76900,3.22,2561643
2019-08-13,74500,0,1304708
2019-08-12,74500,1.64,1254926
2019-08-09,73300,1.38,2100380
2019-08-08,72300,-1.36,2943206
2019-08-07,73300,1.81,2692841
2019-08-06,72000,-4.51,5008247
2019-08-05,75400,-0.92,2889902
2019-08-02,76100,-2.06,4845952
2019-08-01,77700,1.04,3397831
2019-07-31,76900,-2.53,3712241
2019-07-30,78900,2.47,2371300
2019-07-29,77000,-3.51,2616782
2019-07-26,79800,0.76,3095260
2019-07-25,79200,2.06,3963383
2019-07-24,77600,-1.52,3562342
2019-07-23,78800,0.51,4814941
2019-07-22,78400,2.08,3213786
2019-07-19,76800,2.81,2635348
2019-07-18,74700,0.13,1902110
2019-07-17,74600,-1.97,2805672
2019-07-16,76100,-0.13,2450278
2019-07-15,76200,2.01,2122090
2019-07-12,74700,-1.06,2638271
2019-07-11,75500,3.57,5111929
2019-07-10,72900,4.44,4346179
2019-07-09,69800,3.56,2912514
2019-07-08,67400,-1.46,2202260
2019-07-05,68400,-2.56,2043271
2019-07-04,70200,1.59,1503707
2019-07-03,69100,-3.22,2790684
2019-07-02,71400,2,2495399
2019-07-01,70000,0.72,3538183
2019-06-28,69500,-1,3117569
2019-06-27,70200,1.89,5361201
2019-06-26,68900,3.3,5024201
2019-06-25,66700,-0.3,1873766
2019-06-24,66900,1.52,2164462
2019-06-21,65900,-2.08,2403002
2019-06-20,67300,0.15,2773637
2019-06-19,67200,5.99,6230370
2019-06-18,63400,-0.47,1549497
2019-06-17,63700,0.95,2435039
2019-06-14,63100,-0.63,3686472
2019-06-13,63500,-3.35,5947811
2019-06-12,65700,-2.23,2437640
2019-06-11,67200,0.6,2429182
2019-06-10,66800,2.14,3091757
2019-06-07,65400,0.46,2355869
2019-06-05,65100,0,4832796
2019-06-04,65100,-2.25,2892681
2019-06-03,66600,1.99,4020572
2019-05-31,65300,-0.91,3191350
2019-05-30,65900,-0.3,3023108
2019-05-29,66100,0.3,6056903
2019-05-28,65900,-1.49,12052399
2019-05-27,66900,-1.04,2214176
2019-05-24,67600,-0.59,3339145
2019-05-23,68000,-1.31,3108370
2019-05-22,68900,-1.99,3128787
2019-05-21,70300,-0.85,3893536
2019-05-20,70900,-0.98,1970694
2019-05-17,71600,-0.42,2412668
2019-05-16,71900,-3.49,3467027
2019-05-15,74500,-0.13,2056131
2019-05-14,74600,1.5,3712697
2019-05-13,73500,-1.21,3062929
2019-05-10,74400,-2.11,5702537
2019-05-09,76000,-5.35,5939278
2019-05-08,80300,0.5,2731620
2019-05-07,79900,-0.62,2700371
2019-05-03,80400,-0.37,2481811
2019-05-02,80700,2.15,3092434
2019-04-30,79000,-1.25,2960242
2019-04-29,80000,1.78,2987384
2019-04-26,78600,-2,5183181
2019-04-25,80200,2.17,5586360
2019-04-24,78500,-3.09,5318487
2019-04-23,81000,0.62,1779318
2019-04-22,80500,-1.59,1887109
2019-04-19,81800,3.28,3040186
2019-04-18,79200,-1.25,3295697
2019-04-17,80200,-0.25,2886956
2019-04-16,80400,0.88,2206997
2019-04-15,79700,2.05,2019931
2019-04-12,78100,-0.38,2317264
2019-04-11,78400,-0.25,2614388
2019-04-10,78600,1.03,2689591
2019-04-09,77800,-0.13,2322860
2019-04-08,77900,-1.39,2663493
2019-04-05,79000,0.77,2191720
2019-04-04,78400,-1.88,5436236
2019-04-03,79900,4.58,4674142
2019-04-02,76400,-0.26,2719440
2019-04-01,76600,3.23,3579070
2019-03-29,74200,2.63,3214170
2019-03-28,72300,-1.5,2774932
2019-03-27,73400,0.96,2744175
2019-03-26,72700,-0.27,2987678
2019-03-25,72900,-4.2,3752230
2019-03-22,76100,0.26,5286455
2019-03-21,75900,7.66,10030131
2019-03-20,70500,3.68,3642962
2019-03-19,68000,0.29,2285169
2019-03-18,67800,-0.44,2158588
2019-03-15,68100,1.19,3645592
2019-03-14,67300,0.75,3107100
2019-03-13,66800,-1.33,2851596
2019-03-12,67700,1.65,2753535
2019-03-11,66600,-0.15,2869008
2019-03-08,66700,-2.06,3571792
2019-03-07,68100,0,3402570
2019-03-06,68100,-2.3,4958303
2019-03-05,69700,-0.57,3465521
2019-03-04,70100,0.14,4931703
2019-02-28,70000,-5.02,7869451
2019-02-27,73700,-1.99,2864044
2019-02-26,75200,-0.27,2483512
2019-02-25,75400,-1.69,2865712
2019-02-22,76700,0,1882653
2019-02-21,76700,1.32,2874589
2019-02-20,75700,2.71,3134257
2019-02-19,73700,-1.34,1462071
2019-02-18,74700,1.22,1772434
2019-02-15,73800,-4.65,4154616
2019-02-14,77400,1.57,2313376
2019-02-13,76200,0.4,2378193
2019-02-12,75900,2.43,3526701
2019-02-11,74100,0.82,3374192
2019-02-08,73500,-4.17,4012485
2019-02-07,76700,1.05,4249110
2019-02-01,75900,2.71,3349965
2019-01-31,73900,-2.64,4447535
2019-01-30,75900,3.41,5304841
2019-01-29,73400,2.23,3368642
2019-01-28,71800,-3.75,4972189
2019-01-25,74600,5.82,7163871
2019-01-24,70500,5.54,6914092
2019-01-23,66800,0.3,2825017
2019-01-22,66600,-0.6,4047917
2019-01-21,67000,3.72,3977425
2019-01-18,64600,-0.46,2263599
2019-01-17,64900,0.15,2830122
2019-01-16,64800,1.25,2478497
2019-01-15,64000,3.06,2413868
2019-01-14,62100,-4.61,3282892
2019-01-11,65100,-0.31,2890639
2019-01-10,65300,2.67,6034432
2019-01-09,63600,7.43,4928656
2019-01-08,59200,0.85,3062192
2019-01-07,58700,0.69,2273750
2019-01-04,58300,1.04,3388087
2019-01-03,57700,-4.79,3337621
2019-01-02,60600,0.17,1934295
2018-12-28,60500,-1.79,1647462
2018-12-27,61600,2.5,3047798
2018-12-26,60100,-0.5,2455060
2018-12-24,60400,0.67,2101703
2018-12-21,60000,2.39,3946994
2018-12-20,58600,-2.82,4889709
2018-12-19,60300,-1.31,3561783
2018-12-18,61100,-1.77,3098206
2018-12-17,62200,0.65,2506287
2018-12-14,61800,-5.65,5617675
2018-12-13,65500,-1.06,4062323
2018-12-12,66200,2,2901875
2018-12-11,64900,-0.92,2457332
2018-12-10,65500,-1.95,2206084
2018-12-07,66800,1.21,2590733
2018-12-06,66000,-3.23,3902275
2018-12-05,68200,-1.16,3008950
2018-12-04,69000,-2.13,3222060
2018-12-03,70500,1.29,2760290
2018-11-30,69600,-2.66,4167055
2018-11-29,71500,-0.56,3270078
2018-11-28,71900,1.55,2441991
2018-11-27,70800,-0.14,2293763
2018-11-26,70900,2.31,2361766
2018-11-23,69300,0,1499166
2018-11-22,69300,1.76,1966126
2018-11-21,68100,0.89,3100596
2018-11-20,67500,-3.3,3325563
2018-11-19,69800,-0.43,2303677
2018-11-16,70100,-2.37,2894513
2018-11-15,71800,1.99,1564647
2018-11-14,70400,-2.09,2783377
2018-11-13,71900,-3.49,4730929
2018-11-12,74500,2.19,3328433
2018-11-09,72900,0,3414946
2018-11-08,72900,2.97,3930969
2018-11-07,70800,1,3770119
2018-11-06,70100,-0.57,2624868
2018-11-05,70500,-2.89,3389386
2018-11-02,72600,6.3,5334082
2018-11-01,68300,0.15,3218076
2018-10-31,68200,0,5038931
2018-10-30,68200,2.1,6101533
2018-10-29,66800,-0.3,4252977
2018-10-26,67000,3.55,6211406
2018-10-25,64700,-3,5859332
2018-10-24,66700,-3.47,5703361
2018-10-23,69100,-1.29,3175869
2018-10-22,70000,-1.13,2377240
2018-10-19,70800,3.06,2688930
2018-10-18,68700,-2.41,2849229
2018-10-17,70400,1,2653053
2018-10-16,69700,-0.85,2211661
2018-10-15,70300,-2.9,3727297
2018-10-12,72400,4.93,4882184
2018-10-11,69000,-1.85,4936490
2018-10-10,70300,-1.26,4161114
2018-10-08,71200,1.28,2856291
2018-10-05,70300,0.43,5508014
2018-10-04,70000,-2.37,5778810
2018-10-02,71700,-2.71,4089558
2018-10-01,73700,0.82,2970456
2018-09-28,73100,-2.53,5824873
2018-09-27,75000,-2.22,5841083
2018-09-21,76700,-3.03,5678068
2018-09-20,79100,0.38,3392490
2018-09-19,78800,1.03,2912259
2018-09-18,78000,1.04,2450163
2018-09-17,77200,-0.64,2252063
2018-09-14,77700,4.3,4124842
2018-09-13,74500,-0.8,5257563
2018-09-12,75100,-1.96,4330147
2018-09-11,76600,0.13,3197796
2018-09-10,76500,0.79,4167711
2018-09-07,75900,-3.68,8388278
2018-09-06,78800,-1.5,4516654
2018-09-05,80000,-1.48,2627619
2018-09-04,81200,0.74,1903734
2018-09-03,80600,-2.89,2618619
2018-08-31,83000,0.36,2303812
2018-08-30,82700,-0.12,2337573
2018-08-29,82800,0.49,2330703
2018-08-28,82400,-1.32,4466308
2018-08-27,83500,2.08,3070598
2018-08-24,81800,0.86,3612709
2018-08-23,81100,1.63,3272130
2018-08-22,79800,1.79,5295710
2018-08-21,78400,4.95,5663191
2018-08-20,74700,0.27,2048829
2018-08-17,74500,-0.27,2647963
2018-08-16,74700,-1.58,5550888
2018-08-14,75900,0.66,3206407
2018-08-13,75400,0.4,3734794
2018-08-10,75100,-3.72,6785694
2018-08-09,78000,-2.26,5587662
2018-08-08,79800,-1.12,2804784
2018-08-07,80700,1.64,3288142
2018-08-06,79400,-4.68,5910100
2018-08-03,83300,0.12,1928574
2018-08-02,83200,-2.8,3373964
2018-08-01,85600,-0.81,2265008
