날짜,종가,등락률,거래량
2021-04-30,81500,-0.24,18673197
2021-04-29,81700,-0.49,20000973
2021-04-28,82100,-0.97,15596759
2021-04-27,82900,-0.72,12941533
2021-04-26,83500,0.85,15489938
2021-04-23,82800,0.49,17805080
2021-04-22,82400,-0.24,13934746
2021-04-21,82600,-1.55,21636079
2021-04-20,83900,0.72,15521965
2021-04-19,83300,-0.72,15287311
2021-04-16,83900,-0.24,15429522
2021-04-15,84100,0.12,16377412
2021-04-14,84000,0,13794652
2021-04-13,84000,0.96,15238206
2021-04-12,83200,-0.48,12915282
2021-04-09,83600,-1.3,18193707
2021-04-08,84700,-1.05,19244259
2021-04-07,85600,-0.47,17885538
2021-04-06,86000,0.7,19042023
2021-04-05,85400,0.71,16255990
2021-04-02,84800,2.29,22997538
2021-04-01,82900,1.84,18676461
2021-03-31,81400,-0.97,17240518
2021-03-30,82200,0.74,13121698
2021-03-29,81600,0.12,14952134
2021-03-26,81500,0.37,12845778
2021-03-25,81200,0.25,14758826
2021-03-24,81000,-0.98,17926638
2021-03-23,81800,-0.24,13299907
2021-03-22,82000,0.12,12670506
2021-03-19,81900,-1.21,15869700
2021-03-18,82900,0.73,18585244
2021-03-17,82300,-0.6,11625146
2021-03-16,82800,1.22,12293537
2021-03-15,81800,-1.21,13735798
2021-03-12,82800,0.98,13530573
2021-03-11,82000,1.36,23818297
2021-03-10,80900,-0.61,20038422
2021-03-09,81400,-0.73,25420764
2021-03-08,82000,-0.12,17641256
2021-03-05,82100,-0.36,20508971
2021-03-04,82400,-1.9,24348331
2021-03-03,84000,0.48,19882132
2021-03-02,83600,1.33,33498180
2021-02-26,82500,-3.28,38520800
2021-02-25,85300,4.02,34155986
2021-02-24,82000,0,26807651
2021-02-23,82000,-0.24,20587314
2021-02-22,82200,-0.48,25419886
2021-02-19,82600,0.61,25880879
2021-02-18,82100,-1.32,21327683
2021-02-17,83200,-2,18307735
2021-02-16,84900,0.83,20483100
2021-02-15,84200,3.19,23529706
2021-02-10,81600,-1.33,23025766
2021-02-09,82700,-0.36,20898332
