일자,종가,등락률,거래량
2021-04-30,24850,-0.8,82204
2021-04-29,25050,0.2,86088
2021-04-28,25000,-2.91,151471
2021-04-27,25750,-1.34,104702
2021-04-26,26100,-0.76,103859
2021-04-23,26300,-1.13,104551
2021-04-22,26600,1.14,185185
2021-04-21,26300,-1.13,119482
2021-04-20,26600,-0.37,111777
2021-04-19,26700,5.33,267637
2021-04-16,25350,0.4,60569
2021-04-15,25250,-0.98,75444
2021-04-14,25500,0,67866
2021-04-13,25500,1.59,121455
2021-04-12,25100,-1.76,210546
2021-04-09,25550,-0.58,109507
2021-04-08,25700,-2.1,113282
2021-04-07,26250,0,113537
2021-04-06,26250,-1.69,96456
2021-04-05,26700,1.14,114449
2021-04-02,26400,3.13,212599
2021-04-01,25600,0.79,103311
2021-03-31,25400,-0.78,79176
2021-03-30,25600,-0.39,75474
2021-03-29,25700,1.98,139755
2021-03-26,25200,0.4,98726
2021-03-25,25100,-0.59,72943
2021-03-24,25250,1.81,73816
2021-03-23,24800,-1.78,117527
2021-03-22,25250,-1.17,117685
2021-03-19,25550,-0.78,83650
2021-03-18,25750,0.19,85431
2021-03-17,25700,-1.15,86006
2021-03-16,26000,1.56,87387
2021-03-15,25600,-1.35,64995
2021-03-12,25950,4.85,96222
2021-03-11,24750,2.91,66633
2021-03-10,24050,-1.64,65432
2021-03-09,24450,-2.2,196996
2021-03-08,25000,-1.77,95936
2021-03-05,25450,-0.97,151836
2021-03-04,25700,-2.65,128981
2021-03-03,26400,-0.94,143243
2021-03-02,26650,-0.56,135466
2021-02-26,26800,-3.07,200588
2021-02-25,27650,2.98,168102
2021-02-24,26850,-3.76,227274
2021-02-23,27900,-1.93,138184
2021-02-22,28450,-2.23,164792
2021-02-19,29100,-0.34,146434
2021-02-18,29200,-0.68,204608
2021-02-17,29400,-1.67,150730
2021-02-16,29900,1.18,281860
2021-02-15,29550,2.96,252111
2021-02-10,28700,0.88,131043
2021-02-09,28450,0.18,110993
2021-02-08,28400,-2.24,159856
2021-02-05,29050,1.04,144125
2021-02-04,28750,-2.21,216578
2021-02-03,29400,-0.34,207971
2021-02-02,29500,0.51,217246
2021-02-01,29350,3.71,272911
2021-01-29,28300,-5.51,531268
2021-01-28,29950,-4.01,561100
2021-01-27,31200,-3.55,427565
2021-01-26,32350,3.35,947497
2021-01-25,31300,2.62,463772
2021-01-22,30500,0.33,1173991
2021-01-21,30400,0.5,422592
2021-01-20,30250,2.02,433348
2021-01-19,29650,3.85,470285
2021-01-18,28550,-2.56,326035
2021-01-15,29300,-0.17,381924
2021-01-14,29350,-1.18,286857
2021-01-13,29700,-1.98,300590
2021-01-12,30300,-1.46,398191
2021-01-11,30750,2.33,972593
2021-01-08,30050,-2.75,662577
2021-01-07,30900,-0.32,372874
2021-01-06,31000,0.81,730725
2021-01-05,30750,-1.44,464190
2021-01-04,31200,2.46,594511
2020-12-30,30450,6.84,1127321
2020-12-29,28500,0.35,220285
2020-12-28,28400,-0.7,413032
2020-12-24,28600,1.96,551083
2020-12-23,28050,4.47,814418
2020-12-22,26850,-2.01,490093
2020-12-21,27400,-1.26,269987
2020-12-18,27750,1.65,552988
2020-12-17,27300,8.76,878477
2020-12-16,25100,0.2,182622
2020-12-15,25050,0.2,120739
2020-12-14,25000,-2.72,162917
2020-12-11,25700,0.78,167051
2020-12-10,25500,0,127807
2020-12-09,25500,0,155881
2020-12-08,25500,0,140159
2020-12-07,25500,-2.86,180328
2020-12-04,26250,-1.87,186861
2020-12-03,26750,0.38,176362
2020-12-02,26650,1.72,247941
2020-12-01,26200,-0.38,105977
