날짜,종가,등락률,거래량
2021-04-30,50800,0.79,542679
2021-04-29,50400,-3.26,966748
2021-04-28,52100,-2.8,729104
2021-04-27,53600,-4.11,968947
2021-04-26,55900,-1.06,402776
2021-04-23,56500,0.18,307960
2021-04-22,56400,0.18,418697
2021-04-21,56300,0.36,379161
2021-04-20,56100,-1.92,962481
2021-04-19,57200,2.33,1126100
2021-04-16,55900,-0.71,546076
2021-04-15,56300,-0.18,415087
2021-04-14,56400,-0.88,618696
2021-04-13,56900,-1.56,587932
2021-04-12,57800,4.52,986768
2021-04-09,55300,0.18,574525
2021-04-08,55200,-1.43,953487
2021-04-07,56000,-1.23,505388
2021-04-06,56700,-2.74,882334
2021-04-05,58300,3,1354682
2021-04-02,56600,4.81,2094887
2021-04-01,54000,4.45,798770
2021-03-31,51700,1.37,290814
2021-03-30,51000,-1.35,346370
2021-03-29,51700,-1.71,434130
2021-03-26,52600,1.15,672898
2021-03-25,52000,-0.76,609129
2021-03-24,52400,3.35,986362
2021-03-23,50700,0.6,733570
2021-03-22,50400,0.4,268652
2021-03-19,50200,-1.38,310537
2021-03-18,50900,-0.78,543018
2021-03-17,51300,0.59,434900
2021-03-16,51000,5.7,685636
2021-03-15,48250,-0.72,207654
2021-03-12,48600,1.14,326512
2021-03-11,48050,0.63,464829
2021-03-10,47750,-0.31,440074
2021-03-09,47900,-2.64,835517
2021-03-08,49200,-0.71,502686
2021-03-05,49550,-0.8,458140
2021-03-04,49950,-2.06,411976
2021-03-03,51000,0.99,449317
2021-03-02,50500,1.51,857468
2021-02-26,49750,-0.7,825143
2021-02-25,50100,8.91,1051516
2021-02-24,46000,-4.76,838521
2021-02-23,48300,-2.72,634874
2021-02-22,49650,-1.29,494944
2021-02-19,50300,1,655814
2021-02-18,49800,-6.57,854525
2021-02-17,53300,0,843248
2021-02-16,53300,4.72,1216314
2021-02-15,50900,7.38,1709287
2021-02-10,47400,0.42,387510
2021-02-09,47200,-0.74,759046
2021-02-08,47550,-0.52,418224
2021-02-05,47800,-0.83,419018
2021-02-04,48200,-1.53,393606
2021-02-03,48950,-0.31,488909
2021-02-02,49100,1.03,651405
2021-02-01,48600,1.46,521158
2021-01-29,47900,-4.2,991185
2021-01-28,50000,-3.85,1057928
2021-01-27,52000,-3.17,707860
2021-01-26,53700,1.7,903472
2021-01-25,52800,6.45,1641215
2021-01-22,49600,0.3,2989580
2021-01-21,49450,-0.2,1344139
2021-01-20,49550,9.02,2702663
2021-01-19,45450,0.33,680542
2021-01-18,45300,-2.05,1467044
2021-01-15,46250,4.4,2219164
2021-01-14,44300,0,429246
2021-01-13,44300,-0.56,332267
2021-01-12,44550,0,538034
2021-01-11,44550,-1.55,1223938
2021-01-08,45250,-1.09,756099
2021-01-07,45750,0.22,541798
2021-01-06,45650,0.55,891057
2021-01-05,45400,2.48,1654320
2021-01-04,44300,0.11,701531
2020-12-30,44250,2.08,578561
2020-12-29,43350,-1.48,632445
2020-12-28,44000,2.09,562111
2020-12-24,43100,1.17,478564
2020-12-23,42600,1.67,578721
2020-12-22,41900,-1.87,465329
2020-12-21,42700,-2.4,564280
2020-12-18,43750,-3.31,685146
2020-12-17,45250,2.38,634695
2020-12-16,44200,0,642232
2020-12-15,44200,3.27,932746
2020-12-14,42800,-1.27,333352
2020-12-11,43350,0.23,395624
2020-12-10,43250,-1.7,652981
2020-12-09,44000,1.62,710455
2020-12-08,43300,-0.12,648301
2020-12-07,43350,-1.7,1058868
2020-12-04,44100,5.63,1467951
2020-12-03,41750,1.09,1189998
2020-12-02,41300,5.63,1584018
2020-12-01,39100,-1.88,1076032
2020-11-30,39850,2.57,730583
2020-11-27,38850,2.64,1114640
2020-11-26,37850,0.93,431290
2020-11-25,37500,-3.1,1016798
2020-11-24,38700,-1.28,668643
2020-11-23,39200,0.77,595535
2020-11-20,38900,0.13,834292
2020-11-19,38850,6.29,2151207
2020-11-18,36550,0.14,481452
2020-11-17,36500,-0.41,868290
2020-11-16,36650,6.54,2031226
2020-11-13,34400,3.3,527462
2020-11-12,33300,-2.06,423909
2020-11-11,34000,0.74,400643
2020-11-10,33750,-0.88,474163
2020-11-09,34050,-1.02,521902
2020-11-06,34400,-1.99,994934
2020-11-05,35100,0.86,1181639
2020-11-04,34800,5.94,1251993
2020-11-03,32850,2.82,394190
2020-11-02,31950,-0.31,206148
2020-10-30,32050,-2.29,610896
2020-10-29,32800,6.67,754257
2020-10-28,30750,2.67,204600
2020-10-27,29950,0,297904
2020-10-26,29950,-4.47,365411
2020-10-23,31350,-1.72,171125
2020-10-22,31900,0.16,181054
2020-10-21,31850,2.25,215478
