날짜,종가,등락률,거래량
2021-04-30,48000,0.21,290304
2021-04-29,47900,-0.21,238549
2021-04-28,48000,-5.7,357614
2021-04-27,50900,-2.68,183751
2021-04-26,52300,1.55,161345
2021-04-23,51500,0.19,240274
2021-04-22,51400,-0.96,216940
2021-04-21,51900,-2.81,231859
2021-04-20,53400,-0.74,187490
2021-04-19,53800,3.46,331446
2021-04-16,52000,5.48,249044
2021-04-15,49300,-1.4,137053
2021-04-14,50000,0.81,183982
2021-04-13,49600,-2.55,271296
2021-04-12,50900,4.09,211311
2021-04-09,48900,-0.31,232724
2021-04-08,49050,-1.31,275032
2021-04-07,49700,0.4,534994
2021-04-06,49500,0.81,249303
2021-04-05,49100,0.72,246254
2021-04-02,48750,4.17,388051
2021-04-01,46800,5.05,270388
2021-03-31,44550,1.02,122062
2021-03-30,44100,-1.34,171617
2021-03-29,44700,0.45,236816
2021-03-26,44500,-0.34,402020
2021-03-25,44650,-1.65,362454
2021-03-24,45400,9,777832
2021-03-23,41650,1.09,211377
2021-03-22,41200,0.98,151190
2021-03-19,40800,-2.63,112425
2021-03-18,41900,1.33,249619
2021-03-17,41350,0.24,152156
2021-03-16,41250,6.04,280757
2021-03-15,38900,-1.27,54443
2021-03-12,39400,1.94,88406
2021-03-11,38650,3.9,164771
2021-03-10,37200,-3.63,152191
2021-03-09,38600,-1.91,245907
2021-03-08,39350,-0.88,154983
2021-03-05,39700,-3.76,236037
2021-03-04,41250,-2.83,243926
2021-03-03,42450,2.17,185635
2021-03-02,41550,1.96,401870
2021-02-26,40750,-0.97,346349
2021-02-25,41150,9.73,543585
2021-02-24,37500,-1.57,263298
2021-02-23,38100,-3.05,266488
2021-02-22,39300,-0.13,150349
2021-02-19,39350,-1.25,201745
2021-02-18,39850,-0.62,141817
2021-02-17,40100,-2.43,168358
2021-02-16,41100,0.24,168835
2021-02-15,41000,5.13,349832
2021-02-10,39000,-1.52,161284
2021-02-09,39600,-2.7,190956
2021-02-08,40700,0.62,172722
2021-02-05,40450,1.13,219589
2021-02-04,40000,0.5,220795
2021-02-03,39800,4.74,382767
2021-02-02,38000,0.26,339336
2021-02-01,37900,1.47,210143
2021-01-29,37350,-1.06,296037
2021-01-28,37750,-3.33,230448
2021-01-27,39050,-1.76,279844
2021-01-26,39750,-3.4,282485
2021-01-25,41150,1.48,438361
2021-01-22,40550,5.19,623518
2021-01-21,38550,-0.39,454614
2021-01-20,38700,6.91,762997
2021-01-19,36200,-1.36,366480
